Ürün,Ağırlık,Ana Grup,Endeks_2024-12-31,Endeks_2025-01-06,Endeks_2025-01-07,Endeks_2025-01-09,Endeks_2025-01-10,Endeks_2025-01-11,Endeks_2025-01-12,Endeks_2025-01-13,Endeks_2025-01-14,Endeks_2025-01-15,Endeks_2025-01-16,Endeks_2025-01-17,Endeks_2025-01-18,Endeks_2025-01-19,Endeks_2025-01-20,Endeks_2025-01-21,Endeks_2025-01-22,Endeks_2025-01-23,Endeks_2025-01-24,Endeks_2025-01-25,Endeks_2025-01-26,Endeks_2025-01-27,Endeks_2025-01-28,Endeks_2025-01-29,Endeks_2025-01-30,Endeks_2025-01-31,Endeks_2025-02-01,Endeks_2025-02-02,Endeks_2025-02-03,Endeks_2025-02-04,Endeks_2025-02-05,Endeks_2025-02-06,Endeks_2025-02-07,Endeks_2025-02-08,Endeks_2025-02-09,Endeks_2025-02-10,Endeks_2025-02-11,Endeks_2025-02-12,Endeks_2025-02-13,Endeks_2025-02-14,Endeks_2025-02-15,Endeks_2025-02-16,Endeks_2025-02-17,Endeks_2025-02-18,Endeks_2025-02-19,Endeks_2025-02-20,Endeks_2025-02-21,Endeks_2025-02-22,Endeks_2025-02-23,Endeks_2025-02-24,Endeks_2025-02-25,Endeks_2025-02-26,Endeks_2025-02-27,Endeks_2025-02-28,Endeks_2025-03-01,Endeks_2025-03-02,Endeks_2025-03-03,Endeks_2025-03-04,Endeks_2025-03-05,Endeks_2025-03-06,Endeks_2025-03-07,Endeks_2025-03-08,Endeks_2025-03-09,Endeks_2025-03-10,Endeks_2025-03-11,Endeks_2025-03-12,Endeks_2025-03-13,Endeks_2025-03-14,Endeks_2025-03-15,Endeks_2025-03-16,Endeks_2025-03-17,Endeks_2025-03-18,Endeks_2025-03-19,Endeks_2025-03-20,Endeks_2025-03-21,Endeks_2025-03-22,Endeks_2025-03-23,Endeks_2025-03-24,Endeks_2025-03-25,Endeks_2025-03-26,Endeks_2025-03-27,Endeks_2025-03-28,Endeks_2025-03-29,Endeks_2025-03-30,Endeks_2025-03-31,Endeks_2025-04-01,Endeks_2025-04-02,Endeks_2025-04-03,Endeks_2025-04-04,Endeks_2025-04-05,Endeks_2025-04-06,Endeks_2025-04-07,Endeks_2025-04-08,Endeks_2025-04-09,Endeks_2025-04-10,Endeks_2025-04-11,Endeks_2025-04-12,Endeks_2025-04-13,Endeks_2025-04-14,Endeks_2025-04-15,Endeks_2025-04-16,Endeks_2025-04-17,Endeks_2025-04-18,Endeks_2025-04-19,Endeks_2025-04-20,Endeks_2025-04-21,Endeks_2025-04-22,Endeks_2025-04-23,Endeks_2025-04-24,Endeks_2025-04-25,Endeks_2025-04-26,Endeks_2025-04-27,Endeks_2025-04-28,Endeks_2025-04-29,Endeks_2025-04-30,Endeks_2025-05-01,Endeks_2025-05-02,Endeks_2025-05-03,Endeks_2025-05-04,Endeks_2025-05-05,Endeks_2025-05-06,Endeks_2025-05-07,Endeks_2025-05-08,Endeks_2025-05-09,Endeks_2025-05-10,Endeks_2025-05-11,Endeks_2025-05-12,Endeks_2025-05-13,Endeks_2025-05-14,Endeks_2025-05-15,Endeks_2025-05-16,Endeks_2025-05-17,Endeks_2025-05-18,Endeks_2025-05-19,Endeks_2025-05-20,Endeks_2025-05-21,Endeks_2025-05-22,Endeks_2025-05-23,Endeks_2025-05-24,Endeks_2025-05-25,Endeks_2025-05-26
Ampul,0.0007477046407498616,Ev eşyası,100,100.0,99.99925145618896,99.99788922717208,99.98767864681164,99.98767864681164,99.9881790927138,99.99299332971538,100.0355283193653,100.0620758582441,100.4435395270297,100.618223569787,100.5181734090494,100.4918826385674,101.0468432702366,101.2026168187699,101.3105189904658,101.8150905441689,101.8477286959045,101.9571219761842,102.0802488137747,102.1868571239342,102.3200965025192,102.3440647593269,102.4319349678424,102.5425802308225,102.8144958532223,103.1089106285888,103.309773086057,103.5115916875824,103.5565257111112,103.892832889438,103.9141377222722,104.1451471239149,104.0613294279603,104.1749235281401,105.3444976085752,105.6257551448643,105.704911483461,105.7173670628473,105.7173670628473,105.7173670628473,105.7173670628473,106.390654399145,106.6572781031951,106.5041628384108,106.386075088178,106.3596686789197,106.7814647145513,106.8119290067594,107.3396461028818,107.3396461028818,107.3801151894363,107.3211597868413,107.2344788029027,107.331309422585,107.2863666746874,107.2848982875282,107.2982130532214,107.6013360512799,107.6822471051918,107.4733791301172,107.5100519262375,107.5474034895408,107.8997045359031,107.8894087475395,108.0245489178429,107.9679559652199,107.9679559652199,108.104968223351,107.9362795560679,108.3697157645431,108.4604256188009,108.4421935418172,108.4601807313692,108.5847358240687,108.541724026587,108.227975230743,108.4619734532506,108.6959194460264,108.5667996008002,108.5770954550596,108.587371150293,108.587371150293,108.587371150293,108.573044584196,108.6593700126809,108.6262533742792,108.6439879192459,108.7000348964262,108.7024891040723,108.6695710118289,108.8637131188923,108.9331087174336,108.801536518398,108.9100049740347,109.3165845898393,109.421571537971,109.6335234587561,109.866309934464,109.3098845883862,109.3039083126946,109.2389323652913,109.2103344507741,109.1945354089357,109.3508873679489,109.4467315521007,109.1738892530154,109.2469211101953,109.4830692007476,109.6675959402554,110.2946835510577,110.5445867754926,110.7784114040801,111.1396757120312,111.3928304905935,111.6757537971292,111.8819376862871,112.0293996163211,112.2511278992625,112.3287611872534,112.6234802603472,113.2563970425516,113.1531982072183,113.4391544243522,113.2692430452916,113.8700591627807,113.8700591627807,113.8244445857412,113.7650255939732,113.933877756962,113.888641567369,114.0204436679319,114.168930388011,113.8917336558543,113.8792189620423,114.043535669751,114.2815023126257,114.2148586513016,114.1680514307535,114.5017939142771
Ankastre Fırın,0.00030520579053477985,Ev eşyası,100,100.0,100.0003125598919,100.1633231532736,100.1752358059943,100.1636610892513,100.1636610892513,100.1689265853072,100.1109886064757,100.1528713757189,100.3501505735918,100.0991316433562,100.2355415924271,100.3244533852035,100.4932758409088,100.5242267760587,100.6927284442081,100.6558200853305,100.5477352536768,100.6107524324951,100.6093398315581,100.6806295950067,100.7371291037782,100.8968193013726,100.8857405610265,100.8568658689532,101.0760717042464,101.122174430073,101.2872364324392,101.4237054476888,101.476924423673,101.4412486509944,101.3922092499097,101.4210245504953,101.4354869184258,101.570231153149,101.7025983859609,101.7025881215334,101.6722640454717,101.6722640454717,101.6722640454717,101.6722640454717,101.6722640454717,102.0160472814698,102.0212781945356,102.6431309050127,102.601237832188,102.7321416878256,102.743870877609,102.9823172431183,103.3031718847827,103.3031718847827,102.9296585507718,103.0997281861624,103.4908715707726,103.6808701710746,103.8354028016021,103.9233637199048,103.5284238975978,104.0590140509022,103.9369030983793,103.7751645642887,104.06038134553,104.1264710249255,104.0464780460299,103.9065835051835,104.0408730063683,104.2472877029615,104.2472877029615,104.2650618964787,104.606846602518,104.84307626464,104.8295433230786,105.0233864149178,104.8136080974902,104.8329469088027,104.8522527831666,105.0035295970777,104.6592424672002,104.6856166683805,104.7349534552324,104.7939146657475,104.97551563389,104.97551563389,104.97551563389,105.2796703190949,105.4626628947123,105.5544843875073,105.4657071116756,105.7024181490684,105.8754733701139,105.906114377003,105.9404070062004,105.8896784968825,105.6830055822933,105.5313396411951,106.1161728224725,106.2720257771622,106.5041284276768,106.5871692624411,106.0433793432892,106.1893880178249,105.9659200948618,105.8664764883068,106.0101036001552,105.9357620676212,106.3557031029332,106.2247752360866,106.1343207998843,106.1523672796762,105.9490622936278,106.2092206572345,106.0793930110764,106.1161391280408,106.5832272138008,106.7859327140896,106.8707603265604,106.9944917205167,107.2563344792545,107.5995023505397,107.5555995814847,107.7681312037771,107.6333877906387,107.6973792318438,107.7385758301391,107.665621574639,107.784865380088,107.784865380088,107.8455412734283,107.5087085732494,107.4821471487856,107.3917925665968,107.380860130562,107.5950667718481,107.565959602855,107.5388223212335,107.5269614523498,107.5049942030747,107.4648428067261,107.3708785268052,107.5482815510408
Ankastre Mikrodalga Fırın,0.0008191107644598771,Ev eşyası,100,100.0,99.99685041577357,99.99867956345092,99.9783796933968,99.92606405139604,99.857056140217,99.84997471958904,99.98306538099924,99.91951378844864,99.91619520374364,99.88646141808012,100.1167135334858,100.6547583668426,100.7545891197219,100.6359061260218,100.5692826108874,100.8301859147321,100.88986037567,101.0384938613367,101.044790080931,101.0124347671436,100.723352807021,100.7071569720135,100.9859096412299,101.0568378353404,101.2331054604279,101.2217737758745,101.1768340035326,100.9162046285689,100.991511290883,100.8700557603001,100.9506253596724,101.7568762111238,101.6870929248275,101.69411216245,101.69411216245,102.345582413157,102.345582413157,102.345582413157,102.345582413157,102.345582413157,101.7554474883089,102.0246748761838,102.0203476561583,103.1871534362299,103.4105294891805,103.6006283086293,103.0439948950746,103.4198926123931,103.8379400865003,103.8379400865003,103.7143030769662,103.8609112354344,104.6015120226312,104.1915940081316,104.0135956632171,104.0304610613973,104.073832647411,104.0254652703984,104.1341821435053,103.8899888225645,104.9160645045505,105.2393148051822,104.0231725622826,104.3698815822216,104.0861290039822,103.9370423926301,103.726384299758,103.8443637592592,103.8985146701258,104.4988002811525,104.3723829690404,104.3404156195413,104.2806689573926,104.4219992783137,104.3651479789593,104.1917967004831,104.5528991956278,104.1436943614648,103.4910230655669,103.6999053951954,103.9884601515236,103.9884601515236,103.9884601515236,104.5059814975931,104.1501401169148,104.193579144987,104.0826637842904,103.6460262435952,103.5344544377968,103.7471992193069,103.7570405628506,103.4976276425,103.3505619903626,103.2125009731596,104.1956608347049,104.0374865246198,104.5939330760358,104.3215190746777,103.4313670721226,103.0296275534255,103.4231041911268,102.963400699685,103.0602886782477,103.2160116437965,103.6296381910646,103.4043276840206,103.3238159809632,103.354846390653,103.2947403078438,103.8656887813542,104.3412569404446,104.4487297444647,104.3234828635988,105.3997173834253,104.9563026804869,105.324862555735,105.5208529020639,105.9040235961379,105.9351961226963,105.7769465253942,105.6762514738794,105.6450980780094,105.7165523445634,105.6615310121344,105.805726052392,105.721492049408,105.1442877200853,104.9805780296829,104.8663265439202,104.8609335334246,104.8826755292141,104.9853073611254,105.0153648001666,105.2466534593306,105.1803894692073,105.3018338065947,105.5226463167203,105.4836164812758,105.6492260293687
Ankastre Ocak (Set Üstü) ,0.0005815732467910068,Ev eşyası,100,100.0,100.0012819168222,100.0546944630933,100.0546944630933,100.050235133474,100.0614427639366,100.1109730864405,100.115830944,99.92590712490396,99.98130926502787,99.78712358019104,99.97839566809922,100.1733277969153,100.3485495342808,100.2748470286882,100.1500231259835,100.2878117932473,100.5002316732904,100.5941452425019,100.5700755237377,100.7831144663401,100.9118288396041,101.0600263167346,100.9458150514996,100.959076932867,101.4176836817112,101.4386932896172,101.4728214591169,102.1789521621956,101.8954583980648,102.0874197508748,102.2023221659437,102.0861809751499,102.0692045095131,102.2375657048952,102.5711704360558,102.5711704360558,102.6172787467798,102.6172787467798,102.6172787467798,102.6172787467798,102.6709138984317,102.8881498821777,102.9494387298511,103.5074721731745,103.5723859686607,103.7768002187952,103.6604706586237,103.894064598762,103.9855663977681,103.9855663977681,104.0589231014139,104.0405699794933,104.2421348256842,104.1086348436821,104.4779593910737,104.6836284480158,104.8130500282397,104.7704916610026,104.367344747529,104.5015080964262,104.4279622980407,104.7513430191669,104.5335568079398,104.4893831903818,104.3305330025388,104.2838208365491,104.2041748830667,104.3286003491813,104.5190053799484,104.6803879276789,104.4266790753106,104.5339486868769,104.4326440777788,104.6347671702389,104.571406648475,104.5167970811513,104.405279465725,104.2206301167442,104.3848310066189,104.3896581530552,104.3126570660172,104.3126570660172,104.3126570660172,104.8739538647127,105.1339082862207,105.0752013410289,104.8241207244733,104.7532377465556,104.5298831926155,104.7630421642981,104.6019971808688,104.4869760517282,104.1781743035131,104.1521901101934,104.8794711359899,105.0510697681831,105.1230684166866,105.1927144358891,104.3799262076377,104.5049419865259,104.5568017377498,104.4137302088623,104.3697867186913,104.4667977634609,104.7474651240557,104.4524028920441,104.3080302041914,104.4620943828655,104.3713944070894,104.4309270206528,104.4975883204895,104.7533327614716,105.1183742092278,105.46263896946,105.4553356095819,105.5192822960105,105.5912851977966,105.9199956828354,105.9716173100457,105.846008097222,105.8956795596385,105.8357377718219,105.8543508497826,105.897918267556,106.0855468453011,106.0855468453011,106.106389627544,106.0746925968058,106.1005876456099,106.0814062152252,106.0756708809439,106.3026932451319,106.2290074559928,106.2121442250324,106.1970219421279,106.2208068460075,106.2641393020037,106.223466433112,106.4388936448255
Antep Fıstığı,0.0005233504850667341,Gıda ve alkolsüz içecekler,100,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,102.90850150340472,102.90850150340472,102.90850150340472,102.90850150340472,102.90850150340472,102.90850150340472,102.90850150340472,102.34287593691404,102.34287593691404,102.34287593691404,102.34287593691404,102.34287593691404,104.7798141564541,102.34287593691404,102.34287593691404,102.3911421572524,102.37512950792,102.3864802903962,102.392057270187,102.82316374288192,102.86836461852688,102.8625644329205,102.8611421360202,102.89020695560605,102.90173946498896,102.91056670049402,102.95826163774622,103.0602303036244,102.50081680261115,102.50726752935326,102.5345715315109,102.53459672496952,102.52566637525616,102.59444716967116,102.62747126007125,102.63900489169018,102.6152473844819,103.40396453400903,103.40974903549731,103.39376165531364,103.44639571094226,103.46985615090465,103.4646415118559,104.84364806386152,103.86648984652112,103.86648984652112,103.86648984652112,103.86648984652112,103.86648984652112,103.86648984652112,104.13989466317425,104.13989466317425,104.13989466317425,104.13989466317425,107.94247123700988,107.94247123700988,107.17181519318078,107.17181519318078,107.17181519318078,107.17181519318078,107.17181519318078,106.80311912063046,106.80311912063046,106.80311912063046,107.29019297364894,107.29019297364894,107.29019297364894,107.29019297364894,107.29019297364894,107.29019297364894,107.29019297364894,107.29019297364894,107.29019297364894,107.29019297364894,107.29019297364894,109.34929768728465,109.34929768728465,109.34929768728465,111.68170580052828,111.68170580052828,111.68170580052828,111.68170580052828,112.9704697438518,115.88508318904746,115.88508318904746,115.88508318904746,115.88508318904746,115.88508318904746,115.88508318904746,117.64682171335832,117.64682171335832,118.43208890124166,119.32952605523651,121.83871021438212,121.83871021438212,121.83871021438212,121.83871021438212,122.34178237045106,124.1342653527566,125.0619424675076,125.0619424675076,125.09485350499904,125.09485350499904,126.49143785619135,134.06314180041747,134.06314180041747,134.44939815134302,133.24117193201005,133.24117193201005,133.24117193201005
Araba Kiralama Ücreti,0.000714298054249847,Ulaştırma,100,100.0,100.0,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.03512727937208,63.03512727937208,63.03512727937208,63.03512727937208,63.03512727937208,63.03512727937208,63.03512727937208,63.03512727937208,63.03512727937208,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,69.34620716897238,69.34620716897238,69.34620716897238,69.34620716897238,69.34620716897238,69.34620716897238,69.34620716897238,69.34620716897238,69.34620716897238,69.34620716897238,105.9314741119148,105.9314741119148,105.9314741119148,105.9314741119148,105.9314741119148,95.12016650732248,95.12016650732248,95.12016650732248,95.12016650732248,95.12016650732248,94.93458504304434,94.93458504304434,94.31440377688034,94.80043012261194,94.67931240061706,94.86989034507154,95.9301331151615,95.8970540658129,95.72869709291928,95.89408966011304,97.56621191516491,97.28610565357047,97.82719648720033,98.06205202329518,97.8221595646241,97.75868091715718,98.47487820469723,97.23258408500374,96.40404791470291,95.86525958836046,95.70790619079436,95.36387386513076,96.7511776995269,96.9661259843178,99.49479722581196,97.89606545428484,97.89606545428484,97.89606545428484,97.89606545428484,98.0791593262674,98.69592872472565,98.93633520736276,96.7111776126851,96.64913442479916,96.5382725908481,95.88525457739848,96.74248478807482,110.2387751767631,109.9497590941874,102.4986755806894,102.0143096646292,100.5069810862346,100.1223843704008,101.4821174565578,101.454789762857,101.4590864304917,100.9129487915419,101.1575123098581,100.7540487362185
Araçların  Tamirine ve Bakımına Ödenen Ücretler (İşçilik),0.0015042213846712378,Ulaştırma,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,137.1803331110578,137.1803331110578,137.1803331110578,137.1803331110578,137.1803331110578,137.1803331110578,137.1803331110578,137.1803331110578,140.0765646306273,140.0765646306273,140.0765646306273,140.0765646306273,140.0765646306273,140.0765646306273,122.760622039486,122.760622039486,122.760622039486,122.760622039486,122.760622039486,122.760622039486,122.760622039486,122.760622039486,132.3487080086576,132.3487080086576,132.3487080086576,132.3487080086576,132.3487080086576,132.3487080086576,139.5838650895696,139.5838650895696,139.5838650895696,139.5838650895696,139.5838650895696,139.5838650895696,139.5838650895696,139.5379500676568,139.5379500676568,139.5379500676568,139.5379500676568,139.5379500676569,139.5379500676569,139.5379500676569,139.5379500676569,167.2302248328395,167.2302248328395,167.2302248328395,167.2302248328395,167.2302248328395,167.2302248328395,167.2302248328395,148.3145542115003,148.3145542115003,148.3145542115003,148.3145542115003,148.3145542115003,148.3145542115003,161.3349501904512,161.3349501904512,161.3349501904512,161.3349501904512,161.3349501904512,161.3349501904512,161.3349501904512,161.3349501904512,134.836383134627,134.836383134627,134.836383134627,134.836383134627,134.836383134627,134.836383134627,134.836383134627,114.3039911187847,114.3039911187847,114.3039911187847,114.3039911187847,114.3039911187847,114.3039911187847,114.3039911187847,135.876906248508,135.876906248508,135.876906248508,135.876906248508,135.876906248508,135.876906248508,135.876906248508,112.4143344035607,112.4143344035607,112.4143344035607,112.4143344035607,112.4143344035607,112.4143344035607,112.4143344035607,136.7073671210752,136.7073671210751,136.7073671210751,136.7073671210751,136.707367121075,136.707367121075,128.4069460136755,128.4069460136755,128.4069460136755,128.4069460136755,128.4069460136755,128.4069460136755,128.4069460136755,128.4069460136755,109.2508342261533,109.2508342261533,109.2508342261533,109.2508342261533,109.2508342261533,109.2508342261533,109.2508342261533,111.4883080974358,111.4883080974358,111.4883080974358,111.4883080974358,111.4883080974358,111.4883080974358,111.4883080974358,130.5281740678385,130.5281740678385,130.5281740678385,130.5281740678385,130.5281740678385,130.5281740678385,149.9299983942191,149.9299983942191,149.9299983942191,149.9299983942191,149.9299983942191,149.929998394219
Armut,0.0007002237110008169,Gıda ve alkolsüz içecekler,100,95.43707079356008,94.17410712257886,94.15862089711058,94.15862089711058,94.15862089711058,94.330130224792,94.330130224792,94.330130224792,94.461753662315,94.67840906062304,94.67840906062304,94.67840906062304,94.67840906062304,94.67840906062304,97.84491103589473,97.84491103589473,97.84491103589473,96.21280242812333,96.116348490852,96.19745933346034,96.3772004757127,96.06017021098994,97.8412721636442,97.8412721636442,97.8412721636442,97.8412721636442,97.8412721636442,97.99810738147043,98.75525820563098,98.33951255178816,98.33951255178816,98.32195169685394,98.69223271002316,98.69223271002316,98.69223271002316,98.69223271002316,99.22623879016344,99.29210878768744,99.29210878768744,97.7447547774545,96.87078522472332,96.87078522472332,96.87078522472332,96.56356786713764,96.56356786713764,97.84107854685011,98.2975387352789,98.33091594887134,98.34731892448004,98.42952625399258,98.56203891583372,98.54501945365676,96.59713157781049,96.6807220189092,96.23460622109916,96.25266470692038,98.36074699933684,99.07167687421592,99.1854224459248,99.71609858400342,100.64999508359504,100.65004918135608,100.63087308992576,100.46355396697612,100.53429373121747,100.55900896603444,100.06626917650212,99.68585107576662,99.69804968529148,99.6643325597566,99.77531654703104,99.8248150386545,99.8138098628922,99.79952891092472,99.79952891092472,99.79952891092472,99.79952891092472,100.67452478063474,100.67452478063474,100.67452478063474,100.67452478063474,100.67452478063474,100.67452478063474,100.67452478063474,100.67452478063474,98.73528536892194,98.1606572208932,99.0697185566051,99.1941570293974,99.19956537421808,99.1979391564495,99.1979391564495,99.0962384926612,99.0962384926612,99.0962384926612,99.0962384926612,96.98400896580424,99.25721231989948,99.25721231989948,99.25721231989948,99.25721231989948,100.26118718681664,100.30944119598556,100.30944119598556,100.30944119598556,103.48957651567729,105.01077289072671,107.92727173555384,107.92727173555384,108.75812063267124,108.75812063267124,108.75812063267124,108.75812063267124,108.60264083190977,108.60264083190977,107.05095286460144,108.35839551628162,108.35839551628162,109.95216696127166,110.68436785113587,112.24536388803412,112.24536388803412,111.79210101358092,111.79210101358092,111.79210101358092,111.79210101358092,112.49519598850912,114.44233021932284,114.44233021932284,114.23535258733348,114.23535258733348,113.15969013359212,113.57885598583016,111.07803388175412,110.49859708529218,110.49859708529218,109.4388272268467,109.4388272268467,109.8547683086216,109.8547683086216
Ay Çekirdeği,0.0019222763797607583,Gıda ve alkolsüz içecekler,100,99.98533724340174,99.98533724340174,99.98533724340174,99.98533724340174,99.98533724340174,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.5340322467225,100.5340322467225,100.5340322467225,100.73271401636616,101.5597197481735,101.61019143328689,101.60313507850071,101.60208966068204,101.60183135829004,101.60598259121264,101.61730188016163,101.62285633871672,101.62588850610317,101.6243006706824,101.62626339045995,101.62695658292851,101.62862552909782,101.96312654404034,102.0494268083221,102.0494268083221,102.17102662244312,102.12219176235486,102.15679787755144,102.17325616619102,102.15461620567976,101.88766268084017,101.87123715263,101.86720977655516,101.94666975126944,101.97145453829582,101.89096630776032,102.5078855658835,102.43703023628204,102.52184150804396,102.53201938957427,102.5751008917091,102.57514064921192,102.56104776662498,103.33773018263204,103.45665080046987,103.54037072063018,103.50492783258882,103.4869275451581,103.49548895308992,103.47182604103848,103.54972390748618,103.58445357970578,103.5772479371683,103.5678970986205,103.12476109457702,103.12453127446705,103.12592979487916,103.12679713837566,103.13100630787324,103.13093523110464,103.01194017911648,103.0127158853274,103.0127158853274,103.0127158853274,103.01372178941106,103.01494804621734,103.01567460826716,103.01289059793586,102.89188716021243,103.02505317601998,103.02462499645524,103.0251896743675,103.02814746691875,103.41230940338872,103.41116678715802,102.97074821515648,104.37517188117693,104.37517188117693,104.37517188117693,104.38895734010563,104.39454419908796,104.39454419908796,103.72377134465587,103.72377134465587,103.72377134465587,104.9567558109784,104.9567558109784,105.14787203599512,105.14787203599512,105.14787203599512,105.14787203599512,105.14787203599512,105.14787203599512,107.87179678296242,107.87179678296242,107.15641313174996,107.04519734230342,107.04519734230342,107.7238439864854,107.7238439864854,105.53019397134533,105.53019397134533,105.53019397134533,105.53019397134533,105.53019397134533,105.53019397134533,105.41015052467104,104.81149123584508,105.34621342910089,105.34621342910089,105.34621342910089,105.34621342910089,105.6802923300388,105.81934534626254,107.27125743949522,106.18740831534969,106.18740831534969,106.18740831534969,106.18740831534969,106.3620586579736
Ayakkabı (Erkek için),0.002530577094265349,Giyim ve ayakkabı,100,100.0,99.99993087705236,99.99999417631058,100.010536338634,100.0239364475928,100.0170812018381,100.0170812018381,100.0573956030936,100.130656325392,100.1472997263589,100.1009303831171,100.1840316954336,100.2997867915625,100.2655703555124,100.0324804549781,100.0842649397916,100.0078557399025,100.0050418977021,100.213206892016,100.1240193732122,100.2172593965185,101.0345909162976,100.8042568210492,100.7384924810278,100.8314029232197,101.1457897627687,101.4474401638462,101.5307169075123,101.8154575092107,101.6850618861008,101.9715578855528,101.8965246608911,101.8928942791317,101.9025989953867,102.3396589048419,102.6839865236638,102.5754035090808,102.7498176428742,102.7591366351619,102.7591366351619,102.7591366351619,102.7591366351619,104.2509692007359,104.280912115826,107.5175011652233,109.0468568281328,109.0200006173999,108.9852135841256,109.351531210117,110.9354644929134,110.9354644929134,111.0093442237257,111.0324905032774,110.9542831320655,111.0887465774073,111.1873618145516,111.1275562340169,111.5931739949687,111.4073250718283,111.3114394830076,111.5100194662239,111.3594555685981,111.3263440620808,111.5115756315299,110.9077136353334,110.4850996803519,110.3082735679955,110.2283943857502,110.2762792803392,110.5381741460069,110.7630485388294,110.9213532599948,111.0016897002371,110.9362831933429,110.9935444891696,110.9922511611192,110.8242641826022,110.7762778950474,110.6399037101219,110.6398471529536,110.5517525386409,110.5753198120352,110.5753198120352,110.5753198120352,110.9168193379317,110.9521496635683,110.8215492818811,110.7509639723369,110.7689391708308,110.6001759725962,110.6641554514653,110.801912955157,111.5703739060271,111.3440215406532,111.1318698033367,113.027090864141,113.3338958776013,113.5325795494364,114.495318484746,110.5268890073355,108.7783090890081,108.0876894664391,107.7424144001037,107.6578386879344,107.7176906669626,109.8092824776787,109.2598785454458,108.8355049562457,109.1838725519842,109.7210624059426,109.9900908632988,110.2781453483913,110.3613975734362,110.8028959170963,110.5639698200315,110.4122946140183,111.2686736024387,111.351413760853,112.2707467009938,112.3821162179893,111.4797271162765,110.9366870361598,111.3464905653342,110.8530902273342,110.7204292860138,110.6222553705591,110.6222553705591,109.5675082178834,109.4736189603027,109.6338504406785,109.5432416195603,109.5542348101598,109.5666605735753,109.6525173001634,109.7460565516609,109.6888663008362,109.6401939302674,109.8660593720646,109.6170921060294,109.5797879079446
