,2025-01-01,2025-01-02,2025-01-03,2025-01-04,2025-01-05,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-11,2025-01-12,2025-01-13,2025-01-14,2025-01-15,2025-01-16,2025-01-17,2025-01-18,2025-01-19,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,2025-01-25,2025-01-26,2025-01-27,2025-01-28,2025-01-29,2025-01-30,2025-01-31,2025-02-01,2025-02-02,2025-02-03,2025-02-04,2025-02-05,2025-02-06,2025-02-07,2025-02-08,2025-02-09,2025-02-10,2025-02-11,2025-02-12,2025-02-13,2025-02-14,2025-02-15,2025-02-16,2025-02-17,2025-02-18,2025-02-19,2025-02-20,2025-02-21,2025-02-22,2025-02-23,2025-02-24,2025-02-25,2025-02-26,2025-02-27,2025-02-28,2025-03-01,2025-03-02,2025-03-03,2025-03-04,2025-03-05,2025-03-06,2025-03-07,2025-03-08,2025-03-09,2025-03-10,2025-03-11,2025-03-12,2025-03-13,2025-03-14,2025-03-15,2025-03-16,2025-03-17,2025-03-18,2025-03-19,2025-03-20,2025-03-21,2025-03-22,2025-03-23,2025-03-24,2025-03-25,2025-03-26,2025-03-27,2025-03-28,2025-03-29,2025-03-30,2025-03-31,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23
Ev eşyası,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,101.1608237883238,101.1938316137468,100.03579000536303,101.20354787322785,101.20587979777805,101.19898687211294,101.203098475616,101.20635463100702,101.2819725224914,101.56981716529745,101.63943418106399,101.70663401577926,101.84834210743567,101.9409150482706,102.17344627196385,102.3932889100123,102.44011400999214,102.6388095910391,102.88160494195243,103.1344871969076,103.3142388053587,103.510653092521,103.98628631069286,103.79271063744257,103.81548031447,103.88786250182919,104.16583082989055,104.35983930806786,104.56112094452949,105.04223121674804,105.28068597137782,105.61266715787085,105.90818824302758,106.17224435580223,106.27093709638152,106.47396292321658,107.1554017934033,107.48062617884425,108.07143507491608,108.07524448432834,108.07524448432834,108.07524448432834,108.06479711819439,108.60067854298357,108.52452379100362,109.35765509384231,109.618885854725,110.0478341792941,110.08905150765271,110.23557386276524,110.93779188373126,110.93779188373126,110.94072437622123,110.95800877468123,111.10207003181792,111.11515826545929,111.09765025981669,111.15186202833456,111.30134567296255,111.22253154869883,111.26971033930197,111.23607395412525,111.32466634740719,111.434307710713,111.51996291094706,110.78221025487944,110.37863481769286,110.23649221992085,110.23520835342933,110.22371618710949,110.58664215525329,110.964319865994,111.05404084310128,111.38355372150426,111.37805116818762,111.3548904419089,111.31834020033473,111.32973743408188,111.21663946475978,111.23359743030888,111.22108959998512,111.14657840726298,111.06606864350042,111.06606864350042,111.06606864350042,111.52626360942004,111.59010763666087,111.82452684908597,111.75527195543626,111.75095184849353,111.66495004162687,111.60997284277995,111.77830010978892,112.02538572979488,112.31278844807605,112.26359843035766,112.58935430095283,112.70252377794573,112.81051921394231,113.06459591877606,112.56131706985262,111.77455001360458,111.65630269692103,111.59253655333971,111.59908339368724,111.6419319333221,112.21755475600943,112.05929118970651
Eğitim,100.0,100.0,100.0,100.0,100.0,100.0,100.73499464919497,100.73306045274973,100.67299146314346,100.77992469729088,100.99276025636681,101.43009121838229,101.6353171573104,101.89097214504882,102.02841987206679,101.9282688397317,102.01288016063849,102.70522806618715,103.16328901951864,103.71473022028293,105.00531917153818,105.42074720736908,105.2545738148949,105.45713289193812,105.78654198662026,105.8104897637687,105.76345680579614,106.03410946155934,105.80222052398848,106.5563364614337,106.2219564120959,106.47503530188241,106.58763700732014,106.4873276310358,106.6037662289978,106.75096700554501,106.85728575773179,107.31694577608924,107.28865054364151,107.60333029312085,107.64333945564128,107.76788526972469,108.38659499016732,108.57192246337391,107.59103171676178,109.734109920934,109.734109920934,110.67960123037501,111.64599393735126,111.60926885988742,112.59670010412654,113.60595988636327,114.63753075672338,115.69190593277291,116.76958953533662,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.87109682952969,117.86568629106795,117.85917717698777,117.89186835305348,117.90016756869045,117.90016756869045,117.90016756869045,117.90016756869045,117.90016756869045,117.90016756869045,117.90016756869045,117.90016756869045,117.90016756869045,117.90016756869045,117.90016756869045
Eğlence ve kültür,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,100.00473096283152,100.00519309824794,100.3623871802327,100.35958628032785,100.35853876344201,100.36361699993412,100.36477050371958,100.42045670307076,100.43165229526902,100.55367198281574,100.57816792674392,100.78149461025828,100.80693087822411,100.97711434383808,101.16325433348825,101.1671936018651,101.3496539017208,101.28736773133186,101.31461956499543,101.47031502794708,101.57595845849595,101.80400118343721,101.85587976382416,101.9288487797015,102.03482607750198,102.23973191217655,102.35412240166123,102.48684162634824,102.7910400527347,103.00381700572385,103.07417974066085,103.08586016819713,103.33746384988943,103.69263342673574,103.97666315268907,104.36550951957912,104.47124694453672,104.6879040287612,104.68759408255471,104.68759408255471,104.68759408255471,104.6877702338667,104.8738895292219,104.95074927384708,105.20663717769766,105.33759338407901,105.21830960308355,105.2391801429365,105.38597538094243,105.63824903638427,105.63824903638427,105.57213955341079,105.55666743518702,105.75543686086202,105.6540698251283,105.69933836227058,105.79089330065507,105.7925980627463,105.72127384450681,105.65953574528078,105.5690161541329,105.54243347045194,105.6468091035431,105.82876698564205,105.44187372310827,105.34421845478577,105.2609275934276,105.26166160818099,105.23945465488285,105.37758468249882,105.73213039087835,105.74684123074964,105.8840978355593,105.90291851676932,105.9414557957977,105.93972080789588,106.02607761736128,106.16263650031,106.10206461660056,106.06471602376595,105.9979470255139,105.88974837222189,105.88974837222189,105.88974837222189,106.18482996994774,106.38013460136587,106.35712104764805,106.2640271756617,106.0825583327635,106.00884254630431,105.9472581719636,106.07847230622941,106.0231567415695,105.96834972155453,105.92887759502695,106.69508946344781,106.9554742287193,107.3960996987706,107.67053823952432,106.89812346490311,106.4267382831885,106.127932730423,106.92492856229228,107.26898962233612,107.6067616189877,107.93478322661421,107.77136496330522
Giyim ve ayakkabı,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,100.00445753909871,100.00543084142065,100.00914948445156,100.01386784754271,100.01179260641287,100.01004829494562,100.00876318012105,100.03148035935051,100.07982257008274,100.24000945257974,100.14088701858786,100.08687796216478,100.12799283558445,100.24965207706602,100.46349946402408,100.40516741927392,100.37551077000191,100.28741671443676,100.28374345117878,100.37928841112003,100.57888979407912,101.30732505225039,101.17130467104751,101.19400044876718,101.28057273616841,101.60986737324805,101.77344383786276,102.10277085069698,102.4773128467255,102.4627691725621,102.53929842034498,102.67391682489901,102.86904722032222,102.96893787454827,103.65036328120448,104.36403682790072,104.6646151764099,104.69288807355454,104.69301500355148,104.69301500355148,104.69301500355148,104.69701666234927,106.29918245058506,106.41673773298054,108.24558140948612,109.33780174004247,109.23099527593175,109.68581002052433,109.92822149186135,112.10722758831272,112.10722758831272,112.08828780324562,112.03799067642206,112.1146370523026,112.14870446880923,112.1836553380414,112.30726588930949,112.51391216879357,112.55202963917033,112.51359321493558,112.49458740720472,112.48509568916964,112.53692767262018,112.57494632108437,111.5019593092907,111.01238253035835,110.78115299387233,110.65754757192745,110.67606243149665,110.90957407906834,111.39511148629612,111.93727057547193,112.08008865362211,112.09845187225766,112.17611981827751,112.2277605164109,112.4241318132591,112.62902585571202,112.6488683016668,112.65739636086896,112.65853977409776,112.65857981249223,112.65857981249223,112.65857981249223,113.19155202745624,113.20322944974073,113.10999374825403,112.98695280105447,112.96686025192695,112.91922386661832,113.00028157128914,112.94818103487644,113.40435215528667,113.28517608238447,113.08374666460504,113.96121744703021,114.2691375013076,114.5275290082154,115.25895882110223,113.64706459260196,112.55652268118268,112.00454896383958,111.78340346865707,111.63521002319654,111.61751542872256,113.04555634978888,112.66202044974862
Gıda ve alkolsüz içecekler,100.3198810212992,100.56628967709771,100.7601971331688,100.77086895360425,100.74422290795336,100.89052372196944,101.0818393332152,101.4941695825439,101.7192176802831,101.68341537705227,101.71929814417291,101.74279282691906,101.70436624799876,101.63553840576913,101.63988894243998,101.6350392754245,101.68758887199668,101.77040935258003,101.78184638197874,101.86582932581584,101.7601038267942,101.81229808131663,101.85667846597613,102.17732473467622,102.19334586103477,102.3490331431512,102.53517678088723,102.6525524948287,102.93701482201716,103.02367310000375,102.77011553076551,103.2031283358124,103.22289995679037,103.31476042036479,103.41034439117891,103.77521631808202,104.27107792566322,104.17486904147134,104.19503729873587,104.18969425689218,104.3351505054959,104.6397714146905,104.89656173479445,105.03585499076156,105.02681786996911,105.17791175553673,105.22774325180121,105.33851463364351,105.73381534184563,106.03089454840867,106.03089454840867,106.22620306871528,106.12567763383115,106.2008717594684,106.26270523892899,106.68734273965467,107.01841290367875,107.00792611872004,107.06463286743914,107.3032516063479,107.41527444009641,107.47851195111154,107.9667229127066,108.84035527958535,109.29036364126034,109.38859929658517,109.64049092877245,109.65614281079506,109.60079981639268,110.19444619366443,110.46924237007288,110.55821709171715,110.38186263351962,110.29029744242845,110.34361275641439,110.26521132140492,110.62074765705437,110.8777009346745,110.87029318032864,110.81898088998803,110.61080961550132,110.60212690070769,110.72219183865548,110.806768892206,111.27215733871931,111.27376574399901,111.37906648497375,111.50782758827108,111.50782758827108,111.50782758827108,111.63804445258685,111.76324041274887,111.85254830074724,111.66779065158643,111.60667981872194,111.75071489848366,111.74399410380656,111.82058164845759,112.17816203231493,112.41075752117247,112.41051868319988,112.3253947577954,112.41699867890372,112.20215898465986,112.80406908588589,113.08940557958124,113.2039383792844,113.02859015653945,112.74153267975048,112.48395428720896,112.9044942719173,113.0220018897688,113.22269757314747
Haberleşme,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999997,99.99999999999999,99.99966677819555,100.0008917269138,99.99052670316661,100.00008944471132,99.98657582920937,99.95862723728055,99.97282900680463,99.9708887414088,99.91192951882354,99.92661452094748,99.92624836872605,99.94789907923483,99.94225404273575,99.94756145260214,99.9619905779064,99.92808843891768,99.88560881692119,99.8737164641292,99.88491481908513,99.94824338167673,99.98359996193052,99.97664982418375,99.90811283438691,99.85963911314877,99.83399616403004,99.77414027785262,99.84118737681783,99.85549020800674,99.85931142870123,99.85860738820595,99.68782689368012,99.68549394791623,99.68549394791623,97.47472817915164,97.47472817915164,97.47472817915164,97.46084082776316,97.43965188008153,97.56324696425781,97.60841474038577,97.68470460299697,97.6909575021571,97.71497961210572,97.75319073493527,97.75319073493527,97.7446937925089,97.70941186803846,97.71281984121195,97.75157591702262,97.81923537831175,97.76063675994496,97.77302691038078,97.72810964672938,97.64067523572606,97.67193768913113,97.66667139341929,97.67302630889311,97.60653721681116,97.56945598528515,97.5278398296787,97.51376623602361,97.51376623602361,97.50304314570322,97.47693965629782,96.84144915871141,96.9171232202197,97.04185815408182,97.04185815408182,96.97775471907639,96.9265470109421,96.48234804288717,96.5552545005656,95.0795248622587,95.11287680960125,95.12050486038368,95.13246781873058,95.13246781873058,95.13246781873058,95.24985047195517,95.25682087882878,95.34145566136444,95.38432582515328,95.40638331644843,95.41037087653685,95.4527497424625,95.41558790320558,95.44158783462768,95.44438325025425,95.46957511302725,95.62677401582822,95.64346472747104,95.63290519579427,95.58722848659265,95.55687375389829,95.5358279665506,95.50294577241603,95.45609866382438,95.42711119493163,95.40789134959289,95.41120552063983,95.33994767844173
Konut,100.0,100.0,100.0,100.0,100.0,103.77143053401477,103.90524571653594,103.99741778798288,104.19338008810595,104.29128551497925,104.38401901608823,104.47885465576347,104.57695078671345,104.69431568402271,104.77050244190147,104.84174453732105,104.90182456055301,105.0679949308375,105.11979766856737,105.24529356129484,105.31822311204614,105.39099964809722,105.46329539355075,105.53458576695526,105.60413135388642,105.67215692656725,105.74596436613187,105.81938429137077,105.88696937971902,105.95350516319385,106.0069107933846,107.45381656596284,107.45400167240136,107.49803851677375,108.1477044973868,108.43100175545037,108.47598024381146,108.46516483451931,108.5213547041058,108.52094077440393,108.59010319862332,108.8074047876977,108.88467109317502,108.99650571193993,108.99518545383015,109.54474429731737,109.54474429731737,109.68698532734403,109.90602913348428,109.88414515524649,109.93690325333355,110.00254128242786,110.13321176325324,110.14637996195506,110.21124093720965,110.3547759862345,110.3547759862345,110.420710912928,110.47401310894726,110.51638587937951,110.55319425806336,110.64513683619577,110.93254116796957,110.9912989278948,111.17349076850641,111.32712167989632,111.3025533806253,111.34144457633423,111.42930101585915,111.5288330758513,111.6685196911471,111.73370116469381,111.78884833182879,111.8670675563675,111.8090314699225,111.91145837421068,112.12764646007616,112.20667650431146,112.31051237619336,112.31639648987424,112.35230211725589,112.33206196761093,112.38806463735263,112.55328757381407,112.58924019332684,112.70317482667446,112.83929995895866,112.94223226851528,112.94223226851528,112.94223226851528,113.13868750238126,113.23689482924586,113.28800658140574,113.53413137330196,116.99022828092401,117.03441731925611,117.3281059624983,117.61465871881622,117.68420138347514,117.75322747659337,117.87571395263085,117.99047909890771,117.95890937241145,118.08770403737435,118.25719386902925,118.2825820115803,118.36779427162766,118.43906238241036,118.50766044544395,118.48166442978382,118.54119403485618,118.78401738671542,118.8476428282624
Lokanta ve oteller,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,100.18172143253575,100.20441420022887,100.61787328755636,101.26539868968193,101.35686109996276,101.35651071604109,101.35703574199704,101.35703574199704,101.42594935706319,101.45665391057955,101.72232429477235,101.64625751680134,101.54582569607368,102.21399050685751,102.24590547611896,103.02183031830441,103.02466946039667,102.98807519080242,102.79576900929564,103.18759061782823,103.18897153309932,103.3291190789904,103.46239374286888,103.16542998228505,103.41774404342351,103.23787598606377,103.49203813241529,103.49125383520094,103.4217235244916,104.05443808611288,103.87841711888898,104.56717779266063,105.07421882208706,104.89736181481933,105.06046811329345,105.04218351723652,105.65190630213714,106.24036181777711,106.30786958716652,106.62650702879321,106.62650702879321,106.08977274691965,105.4762134777792,105.4456545308833,104.6682179818116,104.2588027575641,104.28906403895475,103.97210196010049,103.61981302476099,103.42156090254495,103.42156090254495,103.39232113844291,103.89257160603836,103.69910489053085,103.80297501322092,103.37249176931908,105.12201095996026,105.20106693757936,105.33563602055149,105.7193041887,105.33322827139736,105.48249295659257,105.70619054824073,105.49347990140136,105.5385108272331,105.74755220140051,105.82595167759592,105.6700342483125,106.30445595580007,107.14152352244562,107.29752360638129,107.38381639436847,107.56044677230028,107.60612692079576,107.55120066308348,107.30199545640824,107.29840313896064,108.52117649343333,108.50449617340726,108.53962526063309,108.73711709495755,109.11369855983055,109.11369855983055,109.11369855983055,109.58986179606119,109.64338965967414,109.58524059544023,109.69710957032302,109.69056738593902,109.65139917767884,109.61762993429585,109.58309152884097,109.60763078374174,110.13080465120919,110.44768449866467,110.8651605831311,110.5716873354696,110.57457887845952,110.58467070425938,110.66936628457198,110.89258649804128,111.63710057613451,110.76081200501031,110.75350535715108,110.71065865774054,110.89013609364119,111.16502427884524
Ulaştırma,99.99999999999997,99.99999999999997,99.99999999999997,99.99999999999997,99.99999999999997,100.561121622432,100.81144882508453,100.81292742056286,100.9704990061051,100.98267169382964,101.23594262674342,101.26515103342146,101.31912325963819,101.70976982498061,102.23783429461703,102.69198552639085,102.703657339343,102.96340664801151,102.94368632928204,103.08261443693168,102.98378128375673,102.97878093916285,103.01324170329741,103.05610072834412,103.16418473352823,103.19732148588136,103.21171560199716,103.23845407258202,103.04120128645476,103.05755325190911,102.81915608108288,102.88920486372557,102.87568709768746,102.8689885203157,103.05332046232864,103.06104940900794,103.56230128275129,103.55479933894486,103.582519027298,103.59923975027442,103.59739748501896,103.61205743292356,103.6987797063106,103.70557381362983,103.71107751222743,103.71308516568722,103.71308516568722,103.7421938429561,104.0185994968609,103.98773682625665,103.99021913531215,103.99069976561924,104.03074448395878,104.45280425825052,104.47543155449273,104.47955402849965,104.47955402849965,104.42116716625125,104.50189525664831,104.5024480144952,104.50240724518,104.50084478864946,104.29158842747688,104.28504910041897,104.05367080060162,103.65478238528308,103.6891727345221,103.6509035207104,103.55430839836794,103.5742964382285,104.03444835847564,104.06390559276126,104.43970355904828,104.43568599570891,104.43781041487897,104.42795106370538,104.4302191770626,104.38046953437122,104.06910828818276,104.07164622189366,104.06595056085627,104.07949181287144,104.0736650018418,104.3550241284019,104.7966888846368,104.74028392550228,104.73850767208265,104.93655034739918,104.93655034739918,104.93655034739918,104.94358700140596,104.94918683489654,107.6947791265714,107.68836857954265,107.72126416832704,107.7208313972009,107.71954782796385,107.72847028227555,107.01829955912002,106.06194815990847,106.05221130477219,106.44785337359573,106.46186598537741,106.47341390490891,106.48891563317866,106.49676082042947,106.89907691215996,106.9145100769259,106.91410812851876,106.91819013791192,106.92380663193063,106.93067207719491,107.1097252362851
Çeşitli mal ve hizmetler,100.0,100.0,100.0,100.0,100.0,100.0,100.0100022661038,100.01067244119045,100.1719507033118,100.18069175720792,100.1511246356136,100.23305000093782,100.26031150062309,100.39069642060407,100.39286746961828,100.50419164475117,100.58568559768365,100.65444661843108,100.84030205921637,100.96342655351583,101.11269665709521,101.21882239155761,101.23244713872641,101.29103400554382,101.32359618081728,101.3972431020111,101.50085197765283,101.76179888538876,101.88943211696633,102.02277558549282,102.13464069842574,102.60427324880814,102.79909627137717,103.0331466557337,103.47722468479064,103.7035712328642,103.925269008823,104.08901735744523,104.4532743150074,104.68408567056596,104.88751359981607,105.70800098576703,105.94434277917327,106.09516806147082,106.09711467627635,106.09711467627635,106.09711467627635,106.13295834644065,106.77771755856394,107.60207367170958,108.42632957066562,108.59599518602681,109.63412568262736,109.7325891233942,109.8675040365956,110.3401724590569,110.3401724590569,110.18021762237123,110.01381623481393,110.09448171269835,110.04016649160576,110.08132790364824,110.318287268812,110.44964197844786,110.52187087814734,110.50648524626881,110.47811456726185,110.45839250860335,110.50517242120338,110.60030321128048,110.33579161916003,110.30444733773389,110.32670931962186,110.31295494224885,110.30528518384016,110.37112480798767,110.8084552914484,112.8436479195333,113.5846868346986,113.57712374135168,113.48381722769925,113.41279143194451,114.0091414984734,113.93470981042255,113.82384935899047,113.22024542065446,113.18539839897633,113.28380148308132,113.28380148308132,113.28380148308132,113.67786129704989,113.81733943228697,113.84192956768695,113.90137152877101,113.86965728885036,113.83941580590772,113.84220683694795,113.76347941082106,113.84053286776332,114.00954331151108,114.23713598588088,114.67941267072081,114.84628317588016,114.92687631978885,115.27954376599885,114.88129167322307,114.99742987407622,114.84170709473621,114.63193241011528,114.45583788956675,114.1171126732091,114.93690983552995,114.66449960430762
