,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31
0,Alkollü içecekler ve tütün,0.012674131568646274,9.89672018894565,0.0,0.0,0.00015649175282295147,0.0019368813706899246
1,Ev eşyası,5.940016651323243,3.4823352267358887,0.8780426015429166,1.5870862594105084,0.4547727336365215,1.0525626754310569
2,Eğitim,7.486045556938636,7.61877251498575,0.012453229697695356,0.012208411620129311,0.13263975057504762,0.0
3,Eğlence ve kültür,3.616008991905928,1.4900455588751083,0.9800468457662026,1.5863699503169348,0.26007567205326154,0.9462457493883747
4,Giyim ve ayakkabı,4.505287118599788,6.530753742352258,1.0903102206593296,-0.02803000013028578,0.4490710655537633,1.0124517241114628
5,Gıda ve alkolsüz içecekler,3.4246050585065246,5.1170097546233695,1.7894640449029442,-0.3910242126241137,-0.21158412847868124,0.1837402818449574
6,Haberleşme,-1.0938528271318027,-1.4834242358469085,-2.027968015627324,-0.14845299514986143,-0.1822648989327269,0.022508489649997188
7,Konut,5.072060956601021,2.3818463936494227,5.0891614739092095,3.4972571459991553,3.047407710226202,5.158079480621591
8,Lokanta ve oteller,3.56121992134093,1.0735711278161197,4.201151854010132,4.671679792287886,3.682922295320723,3.4429057839213906
9,Sağlık,-14.197044536458847,-0.7698007016458286,0.0,0.0,-0.002934698407464076,0.01874382360027571
10,Ulaştırma,2.0373407966629786,0.14997224847796975,3.2620741529631347,2.335198049514031,2.8354032243735894,1.146315107184348
11,Çeşitli mal ve hizmetler,5.404529181895734,5.009540349878683,2.88037947014399,1.3914308008386556,1.5764658429904932,0.10598014881231244
12,TÜFE,3.28787735136018,3.4497028244895533,2.3370952866494488,1.3889164238195084,1.2973054552010366,1.5945669626924674
