,Enerji,Taze Meyve Sebze,Diğer işlenmemiş gıda,Ekmek ve tahıllar,Diğer işlenmiş gıda,Giyim ve ayakkabı,Dayanıklı Mallar (altın hariç),Diğer Temel Mallar,"Mücevheratlar,altın ve kol saatleri",Kira,Lokanta ve oteller,Ulaştırma hizmetleri,Haberleşme hizmetleri,Diğer hizmetler,Hizmet,Gıda ve alkolsüz içecekler,İşlenmemiş gıda,Temel mallar,TÜFE B,TÜFE C
2024-12-31,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999999996,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999999997,100.0,100.0
2025-01-01,104.62142053872594,100.70222236867244,100.2782993391884,100.0,100.19249035943834,99.29086250133862,99.66485160561255,99.049807482448,99.43374868623272,100.43225274478776,99.31185355616094,98.64445639999562,99.99872962655039,98.80965118356164,99.59965038848834,100.3202368498959,100.47685731178504,99.35490338498538,99.62852542525474,99.45232936509609
2025-01-02,104.70003844886628,100.66711864898888,100.56854855021678,100.28353424628509,100.51844791489444,99.43218734474722,99.7315979278089,99.23555510462911,99.54673310688918,100.54171954699348,99.4483887638892,98.9017721718323,99.99897878231369,99.04539042872332,99.73538155657918,100.56493824979896,100.6147170232876,99.48170712691459,99.80486090018874,99.5814012136097
2025-01-03,104.77882335294852,102.04859009315112,100.91703244031469,100.27540287776053,100.44934650472489,99.57376296079694,99.79848518685854,99.42338696108855,99.65985028557044,100.65130566326874,99.5854682802659,99.16599347355653,99.99923039525248,99.28228729102536,99.8717246019178,100.79368861294368,101.4470338268798,99.60958889859114,99.88789623703983,99.71142569541308
2025-01-04,104.85777572989376,101.80551614638836,100.93898567989226,100.27867079303785,100.6107711291566,99.7155899042401,99.86551412169686,99.61336326350455,99.77310038519497,100.76101122366067,99.72309482932523,99.43711077122413,99.9994844676535,99.5203493817172,100.00868172762956,100.7985526330983,101.34485306772942,99.73857798201855,100.01938163994123,99.842423756814
2025-01-05,104.93689606045083,101.58283814149644,100.97066631458031,100.27867079303785,100.62036838021211,99.8576687313648,99.93268547635547,99.80554619971328,99.88648356889156,100.87083635835818,99.86127115075624,99.71511548792226,99.99974100180563,99.75958437328477,100.14625517468566,100.76274549251475,101.25739666037256,99.86870461040371,100.12037558064411,99.97441701424083
2025-01-06,105.01618482720478,101.8249727941585,100.95937716080294,100.27867079303785,100.62452695088272,100.00000000000004,99.99999999999996,100.0,100.0,100.98078119769208,100.0,100.0,100.0,100.0,100.2844472219452,100.80234196635097,101.36480668950011,99.99999999999997,100.22101917777323,100.10742777622647
2025-01-07,105.36488453353486,102.56182648093196,101.01989669100246,100.51821943446689,100.66214426735552,100.00540447025192,100.11973501776828,100.03824947410854,100.00138887167893,101.16077380166467,100.19629222870836,100.0731361547012,100.0,100.40361201145797,100.48072112691628,100.97204867025366,101.7421090542879,100.07606060331172,100.3296109361988,100.22754312827526
2025-01-08,105.36488453353486,104.24646926751376,101.20319239526305,100.52348999395346,100.73022136980305,100.00540447025192,100.11973501776828,100.03824947410854,100.00138887167893,101.16077380166467,100.19629222870836,100.0731361547012,100.0,100.40361201145797,100.48072112691628,101.35863889003215,102.62860890669876,100.07606060331172,100.34378873929796,100.22754312827526
2025-01-09,105.954472029689,104.35849686116552,101.33560943632082,100.37209029510454,100.94686154636484,100.01335899254188,100.212261486463,100.17319909264604,100.00558020360651,101.49802135578896,100.66434672674546,94.22794785146372,100.0,100.57869269476348,100.665286025763,101.56400485682096,102.75147589489856,100.1855844088802,100.48654129261624,100.36775775145503
2025-01-10,106.04072480371468,104.22104320997173,101.27302491321106,100.37209029510454,101.03308144465896,100.01979624243307,100.22777008264188,100.18159544576284,100.006675930499,101.66089344101918,101.36169131244502,94.22794785146372,100.0,100.6374106530114,101.00662472657778,101.5453087465001,102.65382400991284,100.19731852330042,100.60624700929857,100.5037776521732
2025-01-11,106.06126457476483,103.99396183135994,101.3477138978434,100.37209029510454,101.12183472983293,100.01881292286956,100.46329202592496,100.16477617613542,100.01018029801442,101.82333346598378,101.4601906398768,96.28264206395156,99.99999999999997,100.7542795632438,101.15812004936188,101.5753569625489,102.5871691482615,100.30227222138525,100.71242419567461,100.62107416650296
2025-01-12,106.08483562074824,103.94957153674918,101.42175084248667,100.37111312828664,101.15554231621856,100.01778405454324,100.48443467297524,100.20313932241216,100.00769202467988,101.98005090253984,101.45981757214328,96.28264206395156,100.0,100.99441609245756,101.24033875025714,101.6013744241753,102.6057368900282,100.33079807075407,100.75653415748125,100.67072563564734
2025-01-13,106.11396210206551,103.4728071784948,101.5022905503507,100.37111312828664,101.33847848722704,100.01701038970675,100.48963486037354,100.21702973035327,100.0208071641434,102.1342815732451,101.46038753981954,97.6526166283054,99.99958328199061,101.10710118022055,101.333544383263,101.64804301507858,102.42524533091196,100.3399319290875,100.82491366000123,100.71193545729935
2025-01-14,106.1640230262433,102.5038909094254,101.51892184299868,100.37111312828664,101.54090678536215,100.05752987918356,101.01918636330572,100.3621463410089,100.0235005543994,102.2813039869336,101.46038753981954,97.6526166283054,100.00114585793284,101.2474736764691,101.39906068012932,101.60317004663015,101.98026375485033,100.66544549249808,101.03133966488674,100.93182437725027
2025-01-15,106.17094442826094,101.67476960136352,101.54260627607536,100.37111312828664,101.79782247070096,100.15988000799643,101.13168322795023,100.42128727774082,100.04064623668523,102.43118800722613,101.53489300452708,97.6526166283054,99.98871340991327,109.85363382879495,102.80822749071356,101.62799613074496,101.6045092162218,100.75083821120221,101.51805052025728,101.51042719014357
2025-01-16,107.00793638216425,100.86626199375496,101.5162427502252,100.93997899459173,101.86812999770672,100.4077982145236,101.21107431929892,100.62431219086986,100.06876985786003,102.57617293495146,101.56659418760492,97.6526166283054,100.00119539874248,109.7986454464234,102.8589785614282,101.59941538260256,101.21180337737808,100.89635504132298,101.63827107806598,101.6173826391912
2025-01-17,107.20439539073016,100.40865635367024,101.5162427502252,101.4338147140182,102.08372584081332,100.41170853278588,101.22060575993012,100.80508264718203,100.14622038868896,102.71533480111432,101.85635161746993,97.6526166283054,99.98588982629481,109.84774482755827,103.02781053029076,101.69091090308176,100.99746907179762,100.98787045125894,101.79868264075945,101.74274867968359
