,Ürün Adı,2025-01-06,2025-01-07,2025-01-09,2025-01-10,2025-01-11,2025-01-12
Ampul,Şarjlı Ampül 30w Ultra Acil Durum & Kamp Işığı 220v Beyaz E27 Duy Otomatik %80 Tasarruflu,199.0,199.0,199.0,199.0,199.0,199.0
Ampul,Ct-4274b 15w Led Ampül E27 6500k Beyaz,30.0,30.0,30.0,27.0,27.0,27.0
Ampul,Ct-4079 7W E14 Mum Ampul Beyaz Renk 5'li,198.0,198.0,198.0,198.0,198.0,198.0
Ampul,Cla19 E27 Duylu 8 Watt Gün Işığı Led Filament Rustik Bal Cam Ampul G95,167.91,158.82,158.82,158.82,158.82,158.82
Ampul,Cla18 E27 Duylu 6 Watt Gün Işığı Led Filament Rustik Bal Cam Ampul G95,153.18,153.18,153.18,153.18,153.18,153.18
Ampul,Cla14 E27 Duylu 12 Watt Gün Işığı Led Filament Rustik Şeffaf Cam Ampul A60,189.9,189.9,189.9,189.9,189.9,189.9
Ampul,Armut Dekoratif Retro Rustik Ampül E27 Standart Duy 220v Ev Cafe Aplik Abajur Tavan Ampül,59.9,59.9,59.9,59.9,59.9,59.9
Ampul,Aral 4 Watt Rustik Led Ampul,124.9,124.9,124.9,124.9,124.9,124.9
Ampul,9w Led Beyaz Işık,20.0,20.0,20.0,20.0,20.0,20.0
Ampul,9w Led Ampul Günışığı E27 Duy 900 Lümen Led Lamba 2700 Kelvin,349.95,349.95,349.95,349.95,349.95,249.95
Ampul,9w Led Ampul Günışığı E27 Duy 900 Lümen Led Lamba 2700 Kelvin,349.95,349.95,349.95,349.95,349.95,349.95
Ampul,9w Led Ampul Günışığı E27 Duy 900 Lümen Led Lamba 2700 Kelvin,249.95,249.95,249.95,249.95,249.95,249.95
Ampul,9w Led Ampul Günışığı E27 Duy 900 Lümen Led Lamba 2700 Kelvin,249.95,249.95,249.95,249.95,249.95,349.95
Ampul,9W Beyaz Ampul 220V 740 Lümen E27 Duylu 10'lu Set,234.0,234.0,234.0,234.0,234.0,234.0
Ampul,Akıllı Ampül 2'li Set,998.0,998.0,998.0,998.0,998.0,998.0
Ampul,"8,5w E27 4000k Günışığı Led Ampul",44.0,44.0,43.12,34.09,34.09,34.09
Ampul,"9 Watt Beyaz Led Ampul, Tasarruflu Beyaz Led Ampul, 5 Adet",119.99,119.99,119.99,119.99,119.99,119.99
Ampul,E14 Duylu 6 Watt Beyaz Işık Led Filament Rustik Şeffaf Cam Ampul,100.54,100.54,100.54,100.54,100.54,100.54
Ampul,10'lu Led Ampul 7w Sarı Işık E27 (3000K 220-240V),349.9,349.9,349.9,349.9,349.9,349.9
Ampul,10lu 9W Beyaz %85 Enerji Tasaruflu 6500K Led Ampul,249.9,249.9,249.9,249.9,249.9,249.9
Ampul,15 Renk Rgb Led Ampul Uzaktan Kumandalı Çok Renkli Dim Edilebilir 810 LM E27 Ampul,196.02,196.02,196.02,196.02,196.02,196.02
Ampul,3 Adet 50w Büyük Boy Beyaz Led Tasarruf Ampül Ns Led 50 Wat 3 Adet,199.0,199.0,199.0,185.0,185.0,185.0
Ampul,10'lu Led Ampul 9w Beyaz Işık E27 (6500K 220-240V),249.0,249.0,249.0,249.0,249.0,249.0
Ampul,3200K Günışığı E14 4W 600 Lümen Rustik Buji Ampul ct-4066 15000 Saat Işık Ömrü,43.0,43.0,43.0,43.0,43.0,43.0
Ampul,35W Torch Ampul Beyaz 2'li,192.0,192.0,192.0,192.0,192.0,192.0
Ampul,4 Adet Flemanlı Armut St64 Modeli Rustik Ampul 40 Watt E27 Duy Dekoratif Ampül,284.24,257.4,257.4,257.4,257.4,257.4
Ampul,6 Watt E14 Duylu Rustik Led Ampul Günışığı Avize Ampulu Ince Duylu Mum Ampul 700 Lümen,519.95,519.95,519.95,519.95,519.95,519.95
Ampul,6 Watt E14 Duylu Rustik Led Ampul Kıvrık Sarı Işık Avize Ampulu Ince Duylu Mum Ampul 700 Lümen,519.95,519.95,519.95,519.95,519.95,519.95
Ampul,60 Watt -4 Kollu Katlanır Pervane Led Ampül-tasarruflu(Dönmez!),199.6,199.6,199.6,199.6,199.6,199.6
Ampul,3 adet beyaz ışık 40 w %80 enerji tasarruflu yerli üretim ampul,192.0,192.0,192.0,192.0,192.0,192.0
Ampul,Dekoratif Retro Rustik Ampül E27 Standart Duy 220v Ev Cafe Aplik Abajur Tavan Ampülü,61.0,61.0,61.0,61.0,61.0,61.0
Ampul,E14 Duylu 6 Watt Gün Işığı Led Filament Rustik Şeffaf Cam Ampul,111.07,111.07,111.07,111.07,111.07,111.07
Ampul,Akıllı Ampül 3'lü Set,1497.0,1497.0,1497.0,1497.0,1497.0,1497.0
Ampul,E27 Duylu Armut 8 Watt Gün Işığı Led Filament Rustik Ampul,173.62,173.62,173.62,173.62,173.62,173.62
Ampul,St64 Flamanlı Rustik Led Ampul 10'lu Dekoratif Vintage Aydınlatma St64 10lu,557.03,557.03,557.03,557.03,557.03,557.03
Ampul,E27 Duylu 3 Fonksiyonlu Mısır Led Ampul,100.0,100.0,100.0,100.0,100.0,100.0
Ampul,Rustik A60 Led Filament Ampul E27 Gün Işığı Aydınlatma Ampülü Led Ampül,81.18,81.18,81.18,81.18,81.18,81.18
Ampul,Rgb Led Lamba Kumandalı Ambiyans Aydınlatma 2000 Lümen Tasarruflu Renk Değiştiren Led Işık,85.0,89.9,89.9,89.9,89.9,89.9
Ampul,Rgb Kumandalı Led Renkli Ampul 9w (beyaz Işıklı Ve Çok Renkli ) Ayarlanabilir / Kısılabilir,78.0,78.0,78.0,78.0,78.0,78.0
