,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30
0,Pirinç,6.726631209585809,2.257813393284569,1.7361815929456181,1.957234239457084,0.33694756227822253
1,Un ve diğer tahıllar,1.619402915930812,-0.9506741330564394,5.757456860091659,1.6616325717777602,1.772102237029305
2,Ekmek,9.727849663533572,1.7079819829945109,2.0117247603790522,-0.19669612967347927,2.126912285360394
3,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",8.48122287789983,0.8053611587662601,-0.10949183637338766,0.9158020518125198,1.2311403215109928
4,Makarna çeşitleri,1.6223139690878519,1.1049572084705694,-0.21231623756121643,4.113132262282915,1.3363962633771376
5,Kahvaltılık tahıl ürünleri,3.0200597755291714,4.24634760223197,3.7527115213881634,4.051682497384723,0.9840393109148415
6,Dana eti,4.481838497079393,7.0438275390779514,5.273641685913377,1.7676446993133643,4.0878405602023715
7,Kuzu eti,2.2564626256274645,8.249786713311181,3.7336146355150923,-1.9511614965118995,0.04354537939623704
8,Tavuk eti,0.35041065054004505,2.789054226886689,4.82766861757955,-1.3787686041752734,-0.9099648118873871
9,Diğer etler ve yenilebilir sakatatlar,2.1860212283471236,-0.5299290292006487,2.2718404333814,2.475423856711556,-2.0803161150314
10,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",4.70831004800798,2.124778281742623,1.451384293739677,4.465925956206029,-1.2513396272913035
11,Taze balık,5.675654808719788,-6.917825578269488,6.618120534109173,4.375657611936323,2.731190507905512
12,Konserve edilmiş veya işlenmiş balık,1.586707743535154,6.0287887500082515,1.1274949880364593,-0.3615803715143917,-0.7005911899151118
13,Süt,10.92995199111284,2.609796892749472,0.6852476148570874,-0.09408773468269072,-1.1302270328220287
14,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",11.842027216627304,1.438757519751599,0.03207585353071085,-0.529458986975917,-0.6278609078886888
15,Peynir,6.807099369948211,1.7910627389317035,1.692642912952258,0.46008984080847526,-0.6515433878880317
16,Yumurta,2.9064194102916385,4.302588134849783,8.554157637161431,-8.28422430982787,-3.9437082320202155
17,Tereyağı,10.30996085516045,2.0552920988287537,2.663471352492075,0.44089544219307886,-0.2726101334516784
18,Margarin,-0.7131250895857644,0.1263909281846054,2.5296530548726492,5.0380467526235595,0.3767917622022887
19,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",4.219319588629289,1.1737744714828358,1.650818142728805,2.7377614029204356,0.8482701771497236
20,Taze meyveler,6.866799161969617,13.682531445991653,9.650999016063299,13.444614696630053,-1.4563160432014666
21,Kuru meyve ve sert kabuklu yemişler,3.1641590331308755,1.7329131328281955,1.4584826452032074,3.95881883333995,3.3645567079910066
22,Taze sebzeler (patates hariç),-9.90976500076044,17.990661797628825,-9.76304948835509,-22.152299800410447,-9.393914756978827
23,Patates,-0.002273532219498886,8.670938063905975,7.225168459374598,10.150601095821465,-0.8313645281511128
24,Kuru baklagiller,3.6254413026250543,2.6941801488699513,1.6720931718658072,2.698743330595832,0.20009524458415306
25,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",3.1557455979461357,2.5435439987469666,1.8496509244570136,0.9067488049931294,0.4619466064964328
26,Şeker,0.773880869954735,2.1100783216524865,1.4748651313528427,1.3577493294548715,0.2228888259213635
27,"Reçel, marmelat, bal vb. ürünler",6.921218285978181,2.3402553435988294,1.5009872087591303,0.23062082826965646,1.8586376941262417
28,Çikolata ve şekerlemeler,5.1822491974245155,3.5754985137303574,2.7053017870974694,2.114052349269002,-0.37724825517607696
29,Dondurma,6.849049427819365,0.9923651860973104,0.1798074780844816,0.1750740824127739,-0.8588239961382138
30,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",2.9653346323658347,1.8163721925970044,3.1937132148815772,0.41294858478790886,-0.1841554707484261
31,Kahve,3.624194649515511,3.369192761793771,4.496735909262184,3.966355673858346,2.562727713668722
32,Çay ve bitki çayları,0.39430617076647856,0.3191789527402733,0.8809381580648923,0.20249611596510064,0.45343172745730964
33,Toz kakao,7.57578401270782,4.203857311604997,0.5895343517034357,0.2534126081537025,0.6815905576220249
34,Su ve maden suyu,3.7393865073836796,2.6578678416650847,0.9854968605326198,3.311153490950214,1.2797684167511036
35,"Alkolsüz içecekler (meşrubat, ayran vb.)",7.402991893167465,1.3081702501391623,0.6657610143873338,2.3227674721509217,3.9246750436882527
36,Meyve ve sebze suları,5.341234764015246,3.5162373029781424,1.6710698001143776,2.3570033159572734,2.396880047446226
37,"Alkollü içecekler (rakı, viski, votka vb.)",0.0,0.0,0.0,0.0,0.0
38,Şarap,1.7470104633781958,3.8687707840138863,0.0,0.0,0.022433749757877486
39,Bira,0.0,0.0,0.0,0.0,0.0
40,Sigaralar,0.0,10.850000000000005,0.0,0.0,0.0
41,Erkek giyim,4.278604615449266,5.695737523977962,1.142798005000878,0.008481219231026849,1.3073200319823286
42,Kadın giyim,4.8900227978795785,7.334974286140805,0.5491921185312831,-0.33966707713654065,0.7242316757132272
43,Çocuk giyim,4.0519974841439765,6.487482729489424,0.946715697861733,1.0391543969849204,-0.5253705418298282
44,Bebek giyim,2.7154663466594897,6.350542758803712,-0.48755272449945153,-1.548754678401154,-1.2975655705905198
45,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",4.104128372766502,3.8273327309413574,1.3817464729876994,0.5138838426927084,0.812822577081751
46,Giyim eşyalarının temizlenmesi ve tadilatı,2.7058428124418388,-4.670403173409355,-6.099112580776045,-0.7558757003553906,-7.865231485051627
47,Erkek ayakkabısı,5.7567362593180516,8.310107855769001,2.4623545640158673,0.20668491334792094,0.11023132285872261
48,Kadın ayakkabısı,4.1547681908566725,5.953724665530258,2.1005525929106206,-0.21819650412028269,-0.3818494382996751
49,Çocuk ve bebek ayakkabısı,3.259981216950991,6.100950030822538,2.5259987180076493,-1.0264650878264336,-0.5791229843129186
50,Ayakkabı bakım ve tamiri,12.140511062219716,3.8481018063225347,-2.1601170463195207,0.8515115915666005,-2.189667410626317
51,Gerçek kira,4.220782643345111,3.6610983570642297,4.304349252975603,3.59971936810235,4.590044358816381
52,Konutun bakım ve onarımı için malzemeler,8.269612079465748,7.7319251796950095,3.2905064392104943,5.515020134435367,2.076874346616786
53,Su (şebeke suyu),6.73514080022819,1.580272900688584,1.2309565096079833,5.287752396669698,4.587716563050037
54,Elektrik,10.70000000000002,0.0,20.83333333333335,3.44827586206895,0.0
55,Doğalgaz ve ilgili abonelik ücretleri,-0.008223554685815593,-0.024672693029870185,0.0,0.0,0.0
56,Tüpgaz (ev tüpü),4.864213520219929,0.48029493847796534,1.5075376884421177,0.0,0.0
57,"Katı yakıtlar (odun, kömür)",4.740110964978306,2.142740478169225,1.4199325070765934,5.4830170720201465,1.8005764570918847
58,Mutfak mobilyaları,0.5324787871898273,-0.4878290503124272,0.3404530371603043,-0.5110793187310558,2.637879248715813
59,Yatak odası mobilyaları,4.747867406042605,1.4310355723278656,-0.08766841662778413,0.7127584337834447,1.078069779397195
60,Yemek odası ve oturma odası mobilyaları,3.5174913423294596,3.595663678940153,0.07949280537737913,-0.07984944170953412,0.9281255573091229
61,Halı,16.198388384085717,10.96026028564756,1.8574673207987002,7.223317407620811,1.672327742815094
62,Ev tekstili,34.358901032847534,11.034082867985596,-0.2421832727073081,7.870605882532211,1.0092110623309614
63,"Buzdolabı, derin dondurucu",0.3947712545436355,1.2302509585555343,0.932899684277988,1.7328634001163357,0.4455477068894931
64,Çamaşır ve bulaşık makineleri,1.3094495453768618,1.6857234310449387,1.028132499452128,1.1957531754590134,0.311817711298934
65,"Fırın, ocak ve fırınlı ocak",2.023082717607494,2.1086262830094737,0.09412456864286156,1.4756910300574244,0.8145887523672846
66,Klima ve ısıtıcılar,2.288864026035964,1.6469134649451211,0.46315628581923285,1.4484875508261608,0.4478248691704323
67,Diğer büyük ev aletleri (elektrikli süpürge vb.),1.9544856566719337,2.731547038686033,-0.4418427659348745,0.2940714482215112,0.42699237345849017
68,Elektrikli küçük ev aletleri,6.34490380361834,2.7065818999275626,0.8856558973172168,1.729428850588044,0.6137543197533679
