,Ürün,Grup,Ağırlık,Group_Number,Ana Grup
0,Ampul,"Çeşitli küçük aksesuarlar (pil, ampul vb.)",0.0007913083005330519,75,Ev eşyası
1,Ankastre Fırın,"Fırın, ocak ve fırınlı ocak",0.0003230043820227125,67,Ev eşyası
2,Ankastre Mikrodalga Fırın,"Fırın, ocak ve fırınlı ocak",0.0008668785930271015,67,Ev eşyası
3,Ankastre Ocak (Set Üstü) ,"Fırın, ocak ve fırınlı ocak",0.0006154886735652056,67,Ev eşyası
4,Antep Fıstığı,Kuru meyve ve sert kabuklu yemişler,0.0005538705530916319,22,Gıda ve alkolsüz içecekler
5,Araba Kiralama Ücreti,Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),0.0007559535524825037,96,Ulaştırma
6,Araçların  Tamirine ve Bakımına Ödenen Ücretler (İşçilik),Kişisel ulaştırma araçlarının bakım ve onarımı,0.001591942596926956,95,Ulaştırma
7,Armut,Taze meyveler,0.0007410584401205695,21,Gıda ve alkolsüz içecekler
8,Ay Çekirdeği,Kuru meyve ve sert kabuklu yemişler,0.0020343771755887623,22,Gıda ve alkolsüz içecekler
9,Ayakkabı (Erkek için),Erkek ayakkabısı,0.002678151974318013,49,Giyim ve ayakkabı
10,Ayakkabı (Kadın için),Kadın ayakkabısı,0.002315368644793823,50,Giyim ve ayakkabı
11,Ayakkabı (Çocuk için),Çocuk ve bebek ayakkabısı,0.0005666406682449235,51,Giyim ve ayakkabı
12,Ayakkabı Tamiri (Erkek),Ayakkabı bakım ve tamiri,6.0583594833592646e-05,52,Giyim ve ayakkabı
13,Ayran,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.0004956491906186163,36,Gıda ve alkolsüz içecekler
14,Ayran (Servis edilen),"Lokanta, pastane, kafe vb. yerlerde içilen içecekler",0.0014716476822934973,129,Lokanta ve oteller
15,Ayva,Taze meyveler,0.0002749339337355151,21,Gıda ve alkolsüz içecekler
