title,price,square_meter,room_count,building_age,floor_type,url,page_number,listing_index
"Beytepe Ametist Residences, 4+1, 220m2 Çamaşır Odalı 2 Klimalı 2 Cam Balkonlu Led Havuzlu Lüks Daire","85.000
TL",220 m²,4 + 1,9 Yaşında,3. Kat,https://www.hepsiemlak.com/ankara-cankaya-beytepe-kiralik/daire/88777-252,1,1
Zafer Mahallesi'nde Kiralık Daire,"15.000
TL",135 m²,3 + 1,13 Yaşında,3. Kat,https://www.hepsiemlak.com/ankara-polatli-zafer-kiralik/daire/116305-558,1,2
Ankara Polatlı Yeni Mahalle 3+1 Arakat Kiralık Daire,"21.000
TL",135 m²,3 + 1,15 Yaşında,4. Kat,https://www.hepsiemlak.com/ankara-polatli-yeni-kiralik/daire/54400-6883,1,3
Ankara Polatlı Şehitlik Mahallesi 4+1 Full Yapılı Arakat Kiralık Daire,"26.000
TL",185 m²,4 + 1,2 Yaşında,5. Kat,https://www.hepsiemlak.com/ankara-polatli-sehitlik-kiralik/daire/54400-6880,1,4
Ankara Polatlı Şehitlik Mahallesi Kiralık 4+1 Lüks Daire,"35.000
TL",145 m²,4 + 1,Sıfır Bina,4. Kat,https://www.hepsiemlak.com/ankara-polatli-sehitlik-kiralik/daire/54400-6868,1,5
Torbalı Pancar 3+1 Kiralık Lüks Daire,"25.000
TL",123 m²,3 + 1,Sıfır Bina,Ara Kat,https://www.hepsiemlak.com/izmir-torbali-pancar-kiralik/daire/124859-263,1,6
Yalçın'dan G.Tepe Merkezde 160 M2 Yenilenmiş 3+1 Kiralık Konut,"70.000
TL",160 m²,3 + 0,44 Yaşında,6. Kat,https://www.hepsiemlak.com/istanbul-besiktas-gayrettepe-kiralik/daire/1002-3443,1,7
Barış Mh Kafeler Bölgesi 1+1 Kiralık Daire - Makyol Karşısı Mikel Kafe Üzeri - Teraslı,"28.000
TL",83 m²,1 + 1,13 Yaşında,1. Kat,https://www.hepsiemlak.com/istanbul-beylikduzu-baris-kiralik/daire/142831-175,1,8
"Gümüşsuyunda Teraslı Full Manzaralı,Full Eşyalı, 1,5+1 Daire","65.000
TL",90 m²,2 + 1,30 Yaşında,5. Kat,https://www.hepsiemlak.com/istanbul-beyoglu-purtelas-hasan-efendi-kiralik/daire/8525-56696,1,9
Taksim Elysium Otel Loft Tipi 1+1 Eşyalı Kiralık Resıdence,"70.000
TL",110 m²,1 + 1,10 Yaşında,1. Kat,https://www.hepsiemlak.com/istanbul-sisli-harbiye-kiralik/residence/8525-56701,1,10
Çiftçi Tower Cd Birleştirilmiş Manz. Özel Dekarasyonlu Kiralık,"500.000
TL",500 m²,4 + 1,Sıfır Bina,13. Kat,https://www.hepsiemlak.com/istanbul-besiktas-nisbetiye-kiralik/residence/8525-56697,1,11
Bebek Arnavutköy Sahile Yakın Manzaralı 2+1eşyalı Kiralık Daire,"80.000
TL",90 m²,2 + 1,30 Yaşında,2. Kat,https://www.hepsiemlak.com/istanbul-besiktas-arnavutkoy-kiralik/daire/8525-56747,1,12
Zorlu Center R3 Kule De 2+1 Boğaz Manzaralı Mobilyalı & Boş Daire,"270.000
TL",180 m²,2 + 1,10 Yaşında,13. Kat,https://www.hepsiemlak.com/istanbul-besiktas-levazim-kiralik/residence/8525-56753,1,13
Etiler'de Yeşillikler İçinde Ayrı Mutfaklı Kiralık 2+1 Daire,"80.000
TL",110 m²,2 + 1,25 Yaşında,1. Kat,https://www.hepsiemlak.com/istanbul-besiktas-etiler-kiralik/daire/8525-56754,1,14
Selenium Panorama Kiralık 1+1 Eşyalı/eşyasız Daire,"62.000
TL",75 m²,1 + 1,12 Yaşında,10. Kat,https://www.hepsiemlak.com/istanbul-besiktas-gayrettepe-kiralik/residence/8525-56760,1,15
Ritz Carlton Nişantaşı' Nda Geniş 2+1 Full Mobilyalı Daire,"170.000
TL",150 m²,2 + 1,4 Yaşında,5. Kat,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/8525-56761,1,16
Selenium Panorama Kiralık 1+1 Eşyalı/eşyasız Daire,"62.000
TL",75 m²,1 + 1,15 Yaşında,10. Kat,https://www.hepsiemlak.com/istanbul-besiktas-gayrettepe-kiralik/residence/8525-56626,1,17
Zorlu Center' A Komşu Kiralık 3+1 140m2 Manzaralı Eşyalı Daire,"85.000
TL",145 m²,3 + 1,39 Yaşında,3. Kat,https://www.hepsiemlak.com/istanbul-besiktas-levazim-kiralik/daire/8525-56758,1,18
Rumelihisarında Kiralık Boğaz Cepheli 3+1 Yol Yalı Dairesi,"370.000
TL",200 m²,3 + 1,35 Yaşında,3. Kat,https://www.hepsiemlak.com/istanbul-sariyer-rumeli-hisari-kiralik/yali-dairesi/8525-56765,1,19
L'ist İstinye Suites Kiralık Muhteşem Bahçe Dubleks 4+1,"380.000
TL",290 m²,4 + 1,5 Yaşında,Bahçe Katı,https://www.hepsiemlak.com/istanbul-sariyer-istinye-kiralik/daire/8525-56766,1,20
Etiler Gülan Sitesinde Kısmi Boğaz Manzaralı 3+1 Daire,"200.000
TL",220 m²,3 + 0,38 Yaşında,Yüksek Giriş,https://www.hepsiemlak.com/istanbul-besiktas-bebek-kiralik/daire/8525-56741,1,21
Zeynep Kamilde 2+1 Kiralık Nobel’den,"25.000
TL",100 m²,2 + 1,8 Yaşında,Yüksek Giriş,https://www.hepsiemlak.com/istanbul-uskudar-valide-i-atik-kiralik/daire/130870-547,1,22
Nev Çarşı Avm Ye 400 Metre Mesafede 2+1 Daire Üsküdar,"25.000
TL",85 m²,2 + 1,45 Yaşında,Ara Kat,https://www.hepsiemlak.com/istanbul-uskudar-valide-i-atik-kiralik/daire/130870-545,1,23
Maxihome'dan Göztepe'de 115 M2 Net İçi Yenilenmiş Balkonlu 3+1,"65.000
TL",150 m²,3 + 1,31 Yaşında,4. Kat,https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-kiralik/daire/2270-6777,1,24
Emselsiz Ultra Lüks Mimari Tasarım Eşyalı 4+1 Metro-Metrobüs,"50.000
TL",140 m²,4 + 1,3 Yaşında,Bahçe Katı,https://www.hepsiemlak.com/istanbul-sisli-mecidiyekoy-kiralik/daire/109456-1433,2,1
1+1 Yenimahalle Batıkent Temiz Mobilyalı Büyük Güvenlik + Cam Balkon ** Nevadium Emlak **,"26.900
TL",60 m²,1 + 1,1 Yaşında,6. Kat,https://www.hepsiemlak.com/ankara-yenimahalle-bati-sitesi-kiralik/daire/144731-116,2,2
Levazım Subayları Sitesinde 3+1 140 M2 Deniz Manzaralı Daire,"76.000
TL",140 m²,3 + 1,40 Yaşında,7. Kat,https://www.hepsiemlak.com/istanbul-besiktas-levazim-kiralik/daire/1094-4967,2,3
Armoni'den İbrahimli Bölgesinde Site İçerisinde Kiralık 4+1 Bakımlı Geniş Daire,"42.000
TL",270 m²,4 + 1,15 Yaşında,3. Kat,https://www.hepsiemlak.com/gaziantep-sehitkamil-ataturk-kiralik/daire/70155-130,2,4
Fırsat Alsancak 1 Kordonda Köşe Konumda 4+1 Harika Körfez Manzaralı Kordon Dairesi,"72.000
TL",240 m²,4 + 1,40 Yaşında,7. Kat,https://www.hepsiemlak.com/izmir-konak-kultur-kiralik/daire/37033-3727,2,5
Kuşadası Davutlar Sahil Sitesinde Kiralık Villa,"30.000
TL",120 m²,2 + 1,20 Yaşında,,https://www.hepsiemlak.com/aydin-kusadasi-sogucak-kiralik/villa/125802-197,2,6
Harika Lokasyonda Metro Belediye Yakınında Salona 1 Oda Bağımlı Ferah 3+1 Kiralık,"22.000
TL",115 m²,3 + 1,25 Yaşında,2. Kat,https://www.hepsiemlak.com/ankara-kecioren-guclukaya-kiralik/daire/2232-3273,2,7
