,Dayanıklı Mallar (altın hariç),Diğer hizmetler,Diğer Temel Mallar,Diğer işlenmemiş gıda,Diğer işlenmiş gıda,Ekmek ve tahıllar,Enerji,Giyim ve ayakkabı,Haberleşme hizmetleri,Kira,Lokanta ve oteller,"Mücevheratlar,altın ve kol saatleri",Taze Meyve Sebze,Ulaştırma hizmetleri,TÜFE,Hizmet,Gıda ve alkolsüz içecekler,İşlenmemiş gıda,Temel mallar,TÜFE B,TÜFE C
2016-01-31,168.82,286.785359682884,206.17,353.53422344209,271.46,302.91,277.93,182.046301165062,144.73,366.625818440959,403.693685836519,489.33,311.708019881424,300.750826865176,268.9677368398809,331.4368309783148,299.92884497936933,333.43358868192695,180.711037886983,254.79243513503843,247.79893877399633
2016-02-29,171.07,288.878727367736,207.66,351.042664359239,273.02,309.01,276.36,179.728403611167,144.73,369.320503438593,407.557993900813,496.94,299.960414778186,304.614171417625,269.29779395123126,334.05296043376194,298.54136306051964,326.4938037372856,181.5984565981717,256.62248198375835,249.45580492145
2016-03-31,171.68,290.655182667861,209.05,343.328492065793,275.03,311.17,278.03,179.509584321174,144.73,372.100512455854,411.379869946019,498.36,273.532664573826,307.253353329854,268.6069487584558,336.61109616602204,292.99614751551536,309.78635061457305,182.16871909976373,258.21616729835836,250.91086782475028
2016-04-30,172.41,292.950311870349,210.3,338.389267237293,276.12,313.06,278.97,187.320400496041,144.93,375.612185068102,413.696839558062,497.45,257.462665918165,309.307474521249,269.12147667148395,338.9583005572923,289.5699323599583,299.4979522955067,184.86212591064617,260.4449583663522,253.4501802823211
2016-05-31,171.83,294.916894534695,210.66,335.022930977976,277.36,314.31,282.02,193.585987574494,146.55,378.584010631516,415.5797068448,500.25,252.663711343374,310.00244729537,270.25552361644964,341.13253343224346,288.669197363846,295.4431352500171,186.27915519042978,262.07704542094694,255.2042401306758
2016-06-30,172.65,296.54922769735,212.14,336.060799458624,277.09,315.72,283.42,194.226515120319,147.44,381.780170969561,416.564480794949,500.12,279.063362696321,308.922963038099,272.82533159229877,342.85676083187167,294.0401445835731,308.6692467693438,187.20156570285604,263.060053206273,256.4835385436722
2016-07-31,172.81,297.922040891425,213.33,341.96901949614,279.37,317.29,282.28,193.797962391432,149.66,383.976679504263,417.95866316037,534.97,334.38034651317,311.640183776782,277.50614863833994,344.65511132556253,307.31603139698143,338.3220917102186,187.44097565336568,264.2833259735769,257.41683138246964
2016-08-31,173.86,299.849878870514,214.2,346.987660060023,280.31,317.71,281.7,191.02768637828,149.66,386.794487875599,419.835198906719,551.89,312.518387704103,313.095473554913,277.15910725744743,346.5286603961117,304.6241331994876,330.4225837420159,187.45439943168165,265.1256988898111,258.2581950819055
2016-09-30,173.93,301.653628940406,215.2,349.099247151174,281.07,318.63,287.57,183.644781596673,149.93,389.325038944781,421.96786155907,551.11,303.493830512558,313.192830567719,277.5467267278593,348.4037539038327,303.78331455512955,327.18241643503507,185.79177441513806,265.2465436677675,258.17020506879624
2016-10-31,175.24,304.340206708746,216.23,355.005958088566,282.21,320.16,290.22,184.919914013863,149.93,392.433103276781,425.415642421053,550.62,311.502856936898,316.128925887092,280.0168283940063,351.0725427885055,307.3023516698971,334.09944798860454,187.02938963070477,266.9631052013651,260.0448342638277
2016-11-30,176.23,307.118781335073,217.48,360.089586930216,282.72,321.57,293.27,186.433592533212,150.94,395.084812619308,429.128728907462,553.26,302.975651366734,319.491052988305,281.43156547635823,353.87541988762194,307.1138065450282,332.64204781010653,188.21467870364705,268.5750491901269,261.9501101615216
2016-12-31,178.68,312.422134256538,220.56,380.04253523485,285.12,323.37,299.59,187.801075992338,150.94,398.736396283949,433.190661921445,588.57,317.995862409527,320.277981080005,286.6026489171112,357.28879585517467,315.5904045200807,350.22444508147976,190.5248980670328,271.2548074571107,264.7513434343738
2017-01-31,182.13,312.111171216963,224.89,380.836693575909,288.17,327.06,310.18,188.502999063991,150.94,400.99930163345,438.210370721493,611.03,349.91121105166,326.379876026398,292.1195137359367,359.8636559174281,323.846982385824,365.97467464798706,193.45744552784984,274.1216896913806,267.5246845891486
2017-02-28,185.3,314.245734890218,230.65,383.908137800807,292.95,329.55,314.89,191.57543642095,151.47,404.0178378697,442.821523689456,612.58,342.506979959327,331.326074535814,295.1875308089601,362.95949926261966,325.6518448625377,364.01176945811443,197.18749445261489,277.7876912835054,270.9724492399895
2017-03-31,189.2,317.855627926512,234.54,386.095448522141,295.79,332.38,311.91,194.618568087489,151.47,406.991970003017,447.443568550564,612.43,352.68856776913,335.555860860201,298.03446293247947,366.16917271654927,329.7808174367427,370.04093122609635,200.8618616984254,281.1053669978755,274.43998174031213
2017-04-30,191.31,320.481096421593,237.27,386.750419394358,298.8,335.21,309.92,197.044192027613,151.37,409.620519061445,452.275519723967,615.65,367.861940241642,341.710170631837,300.78986218677545,369.2167748677094,334.64107506846335,377.67308537160807,203.19429392373635,283.83388170181917,277.0907353897052
2017-05-31,191.16,323.645929688159,239.48,390.336871783702,300.86,339.2,306.61,199.844632737878,152.7,412.850190415529,455.924963754117,611.0,371.870474955952,342.811911698614,302.40642470802993,372.2464886731674,337.60923134957903,381.46238004475043,204.34691716029707,285.9225392189981,279.07884977518836
2017-06-30,189.72,325.140278157539,241.25,397.647117844768,301.57,340.87,304.86,200.866477083664,152.75,415.500506039048,458.781359793818,611.34,353.781247268864,342.8377009385,302.2599443415208,374.33611478029763,336.1552711250797,376.5662697681803,204.27431754449537,286.8110269240634,279.96865468233057
2017-07-31,191.39,328.147898608838,242.81,400.394840021064,305.27,343.21,305.19,201.743880760642,152.81,418.313092121622,463.16090269184,612.04,345.760433974569,347.207105912626,303.8161824096506,377.32983439255,337.2296599645087,374.13890121260397,205.7128340186842,289.256639841078,282.0993905294993
2017-08-31,195.17,329.962017796325,243.99,406.887294082613,310.44,344.85,311.39,201.804762749128,152.6,420.891049926755,466.403804489783,614.39,342.191224170305,349.140190352361,306.8463606671397,379.5762972872475,340.59703880768313,375.7959694817777,207.93557544551936,292.03662258417677,284.33269035813277
2017-09-30,196.12,332.497385681991,246.3,408.865087763417,313.31,346.55,315.41,202.356234280029,153.58,424.666528438588,470.093652334045,616.34,337.46737124615,346.925762855835,308.79457042250755,382.5820939725213,341.6768629929213,374.55311822638555,209.08911984645073,294.17643104381233,286.3106704121871
2017-10-31,202.74,335.367238057102,248.3,411.33940284696,319.53,348.94,321.02,205.649921996595,153.58,428.046627683685,474.220146859597,619.3,348.547114231213,352.945188932438,313.53945553310547,385.66285691943165,347.6405407393491,381.1629882606064,213.7976288618882,298.5273000156125,290.29467126830497
2017-11-30,206.49,337.278883985308,250.9,413.651134554361,323.76,352.05,329.13,207.453538960899,153.76,431.996854848313,478.552542070832,626.39,387.656711551051,355.659624443364,319.51916387330294,388.8220111195341,358.1269483259171,401.1588603790857,216.7802741282896,301.8184020598051,293.3558804858852
2017-12-31,210.99,342.059810288044,253.94,415.841589785983,324.79,353.18,330.79,209.261375510715,153.76,435.6976216832,483.182360945867,623.62,404.30926554852,360.697005872024,323.0333228864416,392.45284591045134,362.4485841720593,410.2994411399362,220.2484290818402,304.76548689699644,296.89644407356354
2018-01-31,214.55,342.413533016368,257.54,415.320620659142,328.91,362.65,338.63,212.046098623058,151.78,437.847979233745,488.235305987806,628.96,346.464830751713,361.508029733657,323.0344261376725,394.69329722919093,354.12601518442324,382.2302379270757,223.61536868560972,308.1609914548528,299.76198485987476
2018-02-28,217.55,346.501626554196,261.72,419.343148721879,336.07,369.42,336.68,213.63352504501,152.41,441.010010408241,493.82643674576,629.85,355.841980987711,364.377177114516,326.73509327428144,398.4570836924853,361.01564070536597,388.82606443482405,226.51387747980448,312.35079277423387,303.04562788566795
2018-03-31,219.62,349.347911395304,264.97,425.449261064469,342.36,372.54,337.76,215.118054850637,152.65,444.697307385031,499.529353966336,632.14,354.673733282748,367.406406889665,329.84064086780626,402.18060374984327,365.4744503338401,391.4362999829135,228.69799922196177,315.89758924879084,305.9149342898375
2018-04-30,227.17,353.507922894054,268.97,421.707043500524,344.35,374.64,347.08,221.454863946472,152.65,448.622599872269,506.058193168896,638.68,346.031738962384,369.547916216292,333.6922260443647,406.4178835386526,364.2050834119702,385.3393713861046,235.1292446701813,320.5320594304518,311.3696478008933
2018-05-31,230.29,356.937890874896,272.03,433.815379956703,345.11,377.06,353.11,223.024081536969,153.88,452.115274005377,513.157027135968,647.21,379.273643400216,373.792288762242,339.41692539747686,410.8480236375321,373.8433985351701,407.6039758038771,237.83141660156133,323.429506473032,314.84093664836
2018-06-30,237.67,362.005180690525,277.53,467.715248976633,349.92,380.9,356.67,224.005565882187,162.5,455.633962059649,518.360007481861,652.07,474.111979600645,378.08493451582,351.56037136695824,416.0291943086608,402.1620716482877,470.7893588643717,243.11844033613286,328.52511847938575,320.0808452894681
2018-07-31,241.08,367.221624746701,283.09,469.311452204544,354.2,384.59,358.58,226.065530567339,160.98,459.740123938291,527.026232469646,654.66,480.571361165035,379.488370573786,355.39622714366385,420.99305538186974,406.23805794115697,474.7226848333729,246.66252505519614,332.7003986819722,324.2568710544208
2018-08-31,254.32,370.090848736689,292.69,481.32438607989,361.94,392.26,377.83,228.826532339657,164.85,463.731110327041,535.57577863149,680.84,472.570982026218,385.560548745405,363.9525685701743,426.46933176545787,411.8083884160766,477.1177174651832,256.3479741620836,340.4921909179875,332.0688215604025
2018-09-30,287.21,380.569338268669,325.53,503.390286700573,385.56,416.63,400.67,236.202805417476,164.85,467.293961444803,560.134434100097,696.17,530.793057618931,395.652946703149,387.01454144591145,438.15078041541256,441.9095131084887,516.5593779102836,282.5756408682194,361.198520304737,351.82198104903347
2018-10-31,285.23,388.959716791411,343.48,521.915434934738,400.38,429.0,415.49,243.363612977003,169.02,471.032727825765,570.316781951064,686.77,523.926448617198,397.177196202026,395.4413727919724,444.92699906321815,453.0273251103,522.8818781709783,287.4837793490798,368.99440524309824,357.56160015785173
2018-11-30,257.88,391.098157047042,348.14,518.651224880196,400.11,435.29,412.55,242.743007240831,169.09,474.387503012226,575.342551052898,674.71,508.48959181924,399.731658442639,390.9036546959347,448.16142245656494,449.88893636512216,513.7677963751723,274.3377301981079,364.75274737224487,351.7064830762821
2018-12-31,256.51,396.222700911544,349.49,520.17204590086,399.41,436.78,399.66,240.460172018299,169.08,478.122001750642,579.836173732505,677.59,526.065867257516,404.575812518613,391.0505355213156,451.8004358598235,453.44518079985244,523.004470083465,273.34463740757485,365.49492356503987,352.77513615454615
2019-01-31,255.95,400.006957694957,351.06,527.823549488924,402.2,442.1,382.86,238.031630430847,171.07,482.193119576175,585.581474754803,686.71,578.627738651076,404.430405262222,394.15545370903766,456.02174343853613,467.20571402661005,552.2387811786344,272.77903453451466,367.46101063659086,354.34018237184404
2019-02-28,255.57,403.478980227255,351.8,532.25967517932,402.71,446.41,385.73,237.069628817322,171.45,485.48696812146,591.643103777157,687.14,567.53725396032,404.550618904844,395.2215385322763,459.81399749899316,466.6963173433677,549.2132034925282,272.5004971923865,368.91495858280757,355.873550242136
2019-03-31,253.55,408.299221898064,354.46,528.317013580437,403.2,448.62,393.2,237.196699507982,171.69,489.270437401688,596.296569896343,690.9,608.758431664982,406.568089753459,399.35121961647144,463.46896196259877,474.35896311917895,566.9751615082494,272.0981415810017,370.17533053425797,357.27710376863115
2019-04-30,258.55,412.843133654075,356.88,544.434255321475,407.12,453.0,397.12,234.929371662885,171.7,493.340232757517,604.210663446996,732.47,597.788146714871,409.735804242182,403.14709954469197,468.32618268983936,477.99684824020994,570.0748105867061,274.62044115848033,373.8421323334052,360.83867443210977
2019-05-31,261.1,417.989801319135,358.15,553.667117236153,417.28,467.64,398.13,234.546286656407,172.15,497.881009690245,614.396648432076,790.27,553.883417943336,411.488363470253,405.4592465856694,474.28121162529544,477.9362464351518,553.7710659846246,276.11648148866516,379.1069464041775,364.3194061642863
2019-06-30,262.49,422.399880168864,361.88,548.614545483252,428.59,476.72,393.99,233.219829516506,173.01,502.417150864331,623.31555621003,793.58,531.977252709807,418.938475574831,407.0262535689753,479.83783109503497,479.11001588690453,540.6190757306156,277.3273117721362,384.09986075198776,367.46454290071847
2019-07-31,283.45,425.353838774296,364.41,548.399243683694,436.91,483.28,405.86,234.722647731114,173.86,506.627485953245,630.073411538011,800.09,500.891523463132,421.697177451936,412.7273279829462,484.2124595280931,477.7859671194103,525.5682131060212,289.0489377127784,392.44395929199374,375.91602754373105
2019-08-31,279.42,431.612061672423,363.95,546.696870054136,439.39,486.63,407.26,238.063123587042,174.25,510.75640403755,634.907280880516,925.01,517.34674542342,429.007306591174,415.63268530433163,488.37551529300043,482.1980022791026,532.5919290089465,287.7473214841964,393.93355658729377,377.04673139494514
2019-09-30,279.11,435.020484466815,367.08,548.147915470678,442.9,488.44,420.15,241.880061374439,174.1,514.670603746993,645.277169968438,942.57,500.876132995561,445.055153420183,418.93332270013696,494.1012609768397,481.2074177052189,525.4302707144186,289.29077835903803,397.29006642119646,380.45172086712324
2019-10-31,281.19,440.175304869893,367.84,551.4044179196,444.43,494.58,440.4,247.569097935577,178.36,518.230932975889,651.298580292084,943.32,522.204346839949,455.074237234676,425.470554614799,499.01126507597877,487.4472674007993,537.3715888847689,292.0132055213375,400.66967035689714,384.1478363525121
2019-11-30,281.4,444.13425204336,370.16,551.242427128967,448.0,501.25,442.82,249.251784049919,179.98,521.899439721862,653.761628911039,938.79,507.695638648873,462.95586090464,426.72070382370305,502.04069717177526,487.05377025454493,530.3149219838524,293.0840874851352,403.1338016345505,386.090467035908
2019-12-31,282.86,451.322461549263,369.86,562.337487531205,458.32,509.24,443.55,251.899692214765,180.78,527.006343030681,658.221963592255,942.55,538.595023248085,468.616809833287,432.74875652672654,506.55194861074136,501.28534205245813,550.9274487939094,294.45590012729474,407.60021933000013,388.85964077016246
2020-01-31,280.2,451.865312269359,371.38,568.199132159843,463.76,519.53,448.49,251.089333833149,180.63,529.156328892796,664.239943019047,954.44,563.693026645244,463.16671987836,436.7656598698618,509.34530113171087,511.1597112503406,566.0336097497504,293.2229819871713,409.5312319381391,389.4188117046145
2020-02-29,279.38,456.566685804749,370.69,577.563980910732,467.07,525.77,445.66,249.009539117506,180.95,533.512815661334,671.313138181065,952.81,567.863606312611,470.69697679468,438.8125199505338,514.1425459426001,516.2259496382844,572.9022217685047,292.10396028624854,411.59976809625215,390.9331143553182
2020-03-31,282.44,460.424621138257,375.17,587.657087386277,471.36,529.23,431.76,250.184653832832,181.1,538.0233083011,675.982122012111,959.38,574.312662915335,473.934334545149,440.7627092335021,517.8948604584615,522.0652531572802,581.2440883679478,294.9935979441467,415.0795208884241,394.2067286263596
2020-04-30,288.23,464.650727935513,376.79,597.133119997951,478.38,535.84,410.23,246.745538348673,179.95,542.187230822097,677.35969063563,988.6,583.244491982564,473.411211748728,441.9519308781548,520.1380666824545,529.9286334151251,590.4585902703809,297.4350629274883,418.5262459260416,396.5599488327167
2020-05-31,294.78,470.216989799695,378.28,604.333660631131,482.69,538.56,418.97,254.018834088986,180.8,546.034844236672,679.707046577889,1003.53,612.706508822743,480.348370792547,448.61792310300416,523.2835983130924,539.563603404798,608.3574435488845,303.02977745344975,422.91576863053956,401.06453448315074
2020-06-30,303.28,475.480753090695,385.66,603.484544546679,484.62,543.54,429.93,258.213795051982,182.49,549.648405194786,688.7209860323,1007.16,623.50942087354,501.305185007701,454.70491658483553,529.0880935236426,542.9642629433442,613.1080028311453,310.1543395437886,428.4876160466409,407.60153611565977
2020-07-31,311.74,482.957054793967,387.76,612.927549181179,484.79,545.62,440.66,257.86539602481,184.75,553.339721797516,696.952045925731,1025.03,586.233988491536,494.342784818749,457.41304158941915,534.555344471662,538.0097908362321,600.0992867955546,314.88041868791424,432.46273086379284,412.65751009397457
2020-08-31,315.94,489.330631531902,390.75,623.733225536209,487.32,552.95,446.33,257.946581846993,185.56,556.764849810353,709.28769131686,1063.62,611.802513357869,498.544435887528,463.72238798829613,541.2164072537447,547.2761606001541,617.9996215389539,317.73318175983616,436.7375738200178,417.20534358658085
2020-09-30,327.63,495.513632108737,396.76,634.497241591379,493.24,563.79,448.58,257.312818952121,186.65,559.2865925021,718.982415534225,1063.78,612.452459775391,481.821959203341,469.4157786314261,546.2851823265246,553.7213241234895,623.9030668891985,324.92657766662705,443.11993783690457,423.45307286915806
2020-10-31,336.85,505.887918274711,402.42,653.104234285607,502.68,578.76,457.94,253.022601328995,187.28,563.409230335619,728.890070629598,1075.47,630.108195640156,490.76448542942,477.92549114397104,552.9509709822883,567.2823602432838,642.0529091737698,329.8199195546839,449.9360065853797,429.13532905410216
2020-11-30,355.98,513.137552362093,412.57,679.397447939127,511.07,597.97,461.78,253.632313792078,187.51,568.455628891403,741.479638257287,1078.05,677.081389197368,502.99699692534,490.42161291594056,560.3961729409225,588.1042348570525,678.2844076225787,342.09199725734925,460.1145470580244,439.25896915449675
2020-12-31,368.85,522.702772255358,418.37,690.922580916825,520.04,607.58,468.55,252.325316356432,189.58,576.037400403803,744.445660700944,1066.42,715.110505094247,513.973322896512,499.54168873826103,565.8032079280637,603.3293313667575,702.5466966172062,349.66806763311143,467.31464537519264,445.86960403187646
2021-01-31,374.21,512.351907300909,426.86,697.795302316065,545.15,618.5,483.75,254.892663256945,189.82,576.167640859372,748.352885924239,1067.48,635.30040484929,508.89387447897,502.64479085385443,565.6406082939486,602.6771788399838,667.761806530786,355.00761812645976,474.88258903357325,448.76015296519944
