,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-06,2025-05-07,2025-05-08,2025-05-09,2025-05-10,2025-05-11,2025-05-12,2025-05-13,2025-05-14,2025-05-15,2025-05-16,2025-05-17,2025-05-18,2025-05-19,2025-05-20,2025-05-21,2025-05-22,2025-05-23,2025-05-24,2025-05-25,2025-05-26,2025-05-27,Market,Değişim,Ürün
Yumurta,195.0,195.0,195.0,195.0,195.0,195.0,,,,,,189.0,189.0,189.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,149.0,149.0,149.0,149.0,149.0,149.0,125.0,125.0,125.0,125.0,125.0,125.0,Carrefour,-35.9,Carrefour Yumurta 30'lu M Boy
Yumurta,195.0,195.0,195.0,195.0,195.0,195.0,,,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,129.0,129.0,129.0,159.0,159.0,159.0,159.0,159.0,139.0,139.0,139.0,159.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,125.0,125.0,125.0,125.0,125.0,,125.0,Şok,-35.9,Anadolu Çiftliği M Yumurta 30'lu (53-63 g)
Yumurta,,212.7,212.7,212.7,212.7,212.7,178.2,178.2,178.2,178.2,178.2,178.2,178.2,135.65,135.65,135.65,135.65,135.65,135.65,135.65,155.2,155.2,155.2,155.2,155.2,155.2,155.2,155.2,155.2,155.2,155.2,155.2,155.2,155.2,155.2,155.2,155.2,,,155.2,155.2,140.25,Mopaş,-34.06,Kumbasar Yumurta Medium Boy 30'lu
Yumurta,208.3,208.3,208.3,208.3,208.3,208.3,208.3,174.25,174.25,174.25,174.25,,,174.25,145.2,145.2,145.2,145.2,145.2,,,,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,151.5,,,,151.5,151.5,,151.5,151.5,151.5,151.5,Carrefour,-31.03,Kumbasar 30'lu Yumurta 53-62 g No:3
Yumurta,,,,,,,,,,139.0,139.0,139.0,139.0,139.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Onur Market,-28.78,Naturaköy Gezen Yumurta M 15'li
Yumurta,,143.7,143.7,143.7,143.7,143.7,126.45,126.45,126.45,126.45,126.45,126.45,126.45,109.2,109.2,109.2,109.2,109.2,109.2,109.2,112.65,112.65,112.65,112.65,112.65,112.65,112.65,112.65,112.65,112.65,112.65,112.65,112.65,112.65,112.65,112.65,112.65,112.65,112.65,112.65,112.65,103.45,Mopaş,-28.01,Kumbasar Yumurta 15'li
Yumurta,,,,,,,,,,89.0,89.0,89.0,89.0,89.0,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,Onur Market,-27.53,Keskinoğlu Yumurta 10'lu 53-63 gr
Yumurta,109.2,109.2,109.2,109.2,109.2,109.2,95.4,95.4,95.4,95.4,95.4,95.4,95.4,82.75,82.75,82.75,82.75,82.75,82.75,82.75,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,79.3,Mopaş,-27.38,Kumbasar Kahverengi Yumurta 10'lu
Yumurta,,109.2,109.2,109.2,109.2,109.2,95.4,95.4,95.4,95.4,95.4,95.4,95.4,82.75,82.75,82.75,82.75,82.75,82.75,82.75,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,79.3,Mopaş,-27.38,Kumbasar XL Yumurta Büyük Boy 10'lu
Yumurta,,,,,,,,,,95.0,95.0,95.0,95.0,95.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,Onur Market,-27.37,Naturaköy Gezen Yumurta 10'lu
